year,sido,adm_cd,sigungu,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female
2022,서울특별시,11160,강서구,555999,266085,289914,37720,40315,79873,96385,85671,81572,79061,40874,16382,2424,53586,407294,95119,0.1436567331955633,0.17335462833566248,0.15408480950505307,0.1467124940872196,0.14219629891420668,0.10733832255093984,0.171077645823104,0.7325444829936745,0.5214289953758909
2022,서울특별시,11170,구로구,424038,210737,213301,28207,28325,53096,66323,64581,71487,65637,34182,13586,1532,39336,306010,78692,0.12521519297798783,0.15640815209957598,0.15230002971431805,0.1685863059442786,0.1547903725609497,0.11626316509369443,0.18557770765827591,0.7216570213046944,0.5030233139482783
2022,서울특별시,11180,금천구,247185,125201,121984,12854,13496,36859,40692,33410,44229,39275,19178,7700,853,17881,184924,44380,0.14911503529744927,0.16462163966260088,0.135161923255861,0.17893076036167244,0.15888909116653518,0.11218722818941279,0.1795416388534903,0.7481198292776665,0.4934927281186156
2022,서울특별시,11190,영등포구,401805,198830,202975,26806,22664,57419,73915,59115,65201,56097,28472,13034,1551,35699,298529,67577,0.1429026517838255,0.18395739226739338,0.14712360473363945,0.16227025547218177,0.1396124986000672,0.10715894525951643,0.16818357163300607,0.7429698485583803,0.5051579746394396
2022,서울특별시,11200,동작구,386605,186536,200069,23564,26679,70343,60154,54950,57734,51342,29804,12951,1529,33111,286129,67365,0.18195056970292675,0.15559550445545195,0.1421347370054707,0.14933588546449217,0.1328022141462216,0.1145458542957282,0.1742476170768614,0.7401068273819531,0.5175023602902187
2022,서울특별시,11210,관악구,496743,248148,248595,20630,26485,115556,88770,63680,67816,61823,37321,15337,1548,29651,385034,82058,0.23262733445665063,0.17870407836647925,0.12819506263802408,0.13652129974654903,0.12445671101555533,0.10912282608914468,0.16519206108591364,0.7751171128732564,0.500449930849554
2022,서울특별시,11220,서초구,383181,183006,200175,31870,40062,45978,54095,69125,60878,46460,26850,10431,1508,48792,274035,60354,0.11999029179421736,0.141173492422641,0.18039777546381475,0.15887530957954596,0.12124818297358167,0.10122892314598061,0.1575078096252163,0.7151581106578875,0.5224032506830976
2022,서울특별시,11230,강남구,500149,239430,260719,35342,54333,61803,72066,90955,80022,60013,35522,13145,1951,57829,363263,79057,0.12356917638543714,0.144089061459685,0.18185580696952308,0.1599963210963133,0.11999024290761354,0.10120584065948347,0.15806689606497265,0.7263095597511942,0.5212826577679851
2022,서울특별시,11240,송파구,635758,305954,329804,50507,54225,82564,101969,103174,100135,87863,43305,15509,2266,72299,462646,100813,0.1298670248742446,0.16038964511653805,0.16228502040084436,0.15750489966307935,0.13820195734855087,0.09607429241944261,0.15857134318404173,0.7277077126831278,0.5187571371496702
2022,서울특별시,11250,강동구,448655,219114,229541,35914,36976,55424,67915,72291,69658,66982,33394,12102,1871,51079,320029,77547,0.1235336728666793,0.15137466427433105,0.16112826113606224,0.15525960927661567,0.14929511540047474,0.10557555359909061,0.17284327601386365,0.713307552573804,0.5116202873031617
2022,부산광역시,21010,중구,41145,20277,20868,1139,1783,6234,5077,5067,6466,7788,5006,2357,362,1777,27885,11483,0.15151294203426904,0.12339287884311581,0.12314983594604448,0.15715153724632397,0.18928180823915422,0.1877506379876048,0.2790861587070118,0.6777251184834123,0.5071819176084579
2022,부산광역시,21020,서구,104824,50647,54177,5811,7204,13416,10932,13820,16462,18875,12299,5955,743,8482,68464,27878,0.1279859574143326,0.10428909410058765,0.13184003663283217,0.1570441883538121,0.18006372586430588,0.1812275814698924,0.2659505456765626,0.6531328703350378,0.5168377470808212
2022,부산광역시,21030,동구,85918,41697,44221,4319,4563,9773,10777,11212,13584,15575,10694,5274,609,5991,55886,24041,0.11374799227170092,0.12543355292255406,0.13049651993761494,0.15810423892548708,0.18127749714844388,0.19293977979003235,0.2798133103656975,0.6504574128820503,0.5146884238459927
2022,부산광역시,21040,영도구,109889,55037,54852,5093,7643,13422,10315,13830,17289,21553,14298,6417,659,7675,70519,31695,0.12214143362847965,0.09386744806122542,0.1258542711281384,0.1573314890480394,0.19613428095623767,0.1945053645041815,0.2884274131168725,0.6417293814667528,0.4991582414982391
2022,부산광역시,21050,부산진구,350426,167405,183021,21418,24727,52174,47097,47988,54368,56780,32155,14524,1561,30409,245847,74170,0.14888735424882857,0.13439927402647064,0.13694189358095576,0.15514830520566397,0.16203135612083577,0.13766101830343638,0.2116566693110671,0.701566093840069,0.5222814517187652
2022,부산광역시,21060,동래구,267292,129093,138199,21825,24133,28647,31750,42629,42868,42431,24058,10242,1334,31901,180196,55195,0.10717492480134086,0.11878395163341963,0.15948475824192268,0.16037891145264355,0.15874399533094893,0.13331487661433938,0.20649701450099517,0.6741541086152971,0.5170338057255736
2022,부산광역시,21070,남구,258062,126131,131931,17033,22023,37732,26982,38319,40685,40709,25169,10491,1114,25540,176688,55834,0.14621292557602436,0.10455626942362688,0.14848757275383434,0.1576559121451434,0.15774891305190225,0.14250063938123397,0.21635885949888012,0.6846726755585867,0.5112376095666933
2022,부산광역시,21080,북구,275580,135387,140193,19341,20894,32969,33318,37971,49850,49457,23097,9669,1170,27637,192855,55088,0.11963495173815226,0.1209013716525147,0.13778576094056172,0.18089121126351695,0.1794651280934756,0.12314391465273242,0.1998983961100225,0.6998149357718267,0.5087197909862835
2022,부산광역시,21090,해운대구,377199,181375,195824,28282,34536,40886,42104,60191,67171,59919,31840,14100,1670,42240,260482,74477,0.1083937126026315,0.1116227773668541,0.15957359377941085,0.178078414842033,0.15885248900447774,0.12621984681825774,0.1974475011863764,0.6905691690593029,0.5191530200239131
2022,부산광역시,21100,사하구,303000,150370,152630,19258,24704,37361,34852,43337,51093,53599,28056,11596,1540,28436,209107,65457,0.1233036303630363,0.11502310231023102,0.14302640264026403,0.16862376237623763,0.1768943894389439,0.13594719471947195,0.21602970297029703,0.6901221122112211,0.5037293729372937
