election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_기본소득당,party_녹색당,party_독도당,party_통일한국당,party_한류연합당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_기본소득당,ratio_녹색당,ratio_독도당,ratio_통일한국당,ratio_한류연합당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
8회지방선거_광역의원비례,서울특별시,서초구,20220601,8,342589,191827,190754,1073,53095,131110,285,453.0,97.0,65.0,39.0,5610.0,서초구,서울특별시,0.27834278704509474,0.6873250364343605,0.0014940708975958565,0.002374786374073414,0.0005085083405852564,0.0003407530117323883,0.00020445180703943297,0.029409606089518436,2022,11220,서초구,383181,183006,200175,31870,40062,45978,54095,69125,60878,46460,26850,10431,1508,48792,274035,60354,0.1199902917942173,0.141173492422641,0.1803977754638147,0.1588753095795459,0.1212481829735816,0.1012289231459806,0.1575078096252163,0.7151581106578875,0.5224032506830976,2022
8회지방선거_광역의원비례,서울특별시,성동구,20220601,8,251990,139755,138372,1383,56117,75209,274,327.0,107.0,73.0,58.0,6207.0,성동구,서울특별시,0.4055517012112277,0.543527592287457,0.001980169398433209,0.002363194866013355,0.0007732778307750123,0.0005275633798745411,0.000419159945653745,0.04485734108056543,2022,11040,성동구,282131,136734,145397,19789,18086,46160,45740,41237,44477,38004,19913,9414,1086,26146,209140,46845,0.1636119391346573,0.1621232689778861,0.1461625982256469,0.15764662514931,0.1347033824712633,0.107797441614002,0.1660398892712959,0.7412868490169461,0.515352797104891,2022
8회지방선거_광역의원비례,서울특별시,성북구,20220601,8,379123,202197,199577,2620,89109,99638,417,568.0,155.0,123.0,85.0,9482.0,성북구,서울특별시,0.4464893249222105,0.4992459050892638,0.0020894191214418495,0.0028460193308848213,0.0007766425990970903,0.0006163034818641427,0.0004259007801500173,0.04751048467508781,2022,11080,성북구,436113,207284,228829,29154,37594,75521,58164,64644,67806,56113,32555,15984,1906,42146,318438,75529,0.1731684219456883,0.1333691038790405,0.1482276382497196,0.1554780527065233,0.1286661943120246,0.1156695627050787,0.1731867658152818,0.730173143199125,0.5247011668994045,2022
8회지방선거_광역의원비례,서울특별시,송파구,20220601,8,569507,313235,311228,2007,111022,188134,461,578.0,157.0,130.0,95.0,10651.0,송파구,서울특별시,0.3567224028686365,0.6044893133008599,0.0014812291953166168,0.0018571593815466475,0.0005044533268214942,0.00041770020692225636,0.0003052424589047258,0.03422249926099194,2022,11240,송파구,635758,305954,329804,50507,54225,82564,101969,103174,100135,87863,43305,15509,2266,72299,462646,100813,0.1298670248742446,0.160389645116538,0.1622850204008443,0.1575048996630793,0.1382019573485508,0.0960742924194426,0.1585713431840417,0.7277077126831278,0.5187571371496702,2022
8회지방선거_광역의원비례,서울특별시,양천구,20220601,8,378444,209676,208286,1390,86707,112853,379,371.0,146.0,97.0,84.0,7649.0,양천구,서울특별시,0.4162881806746493,0.5418175009362127,0.0018196134161681534,0.001781204689705501,0.0007009592579434047,0.00046570580835965934,0.00040329162785784933,0.036723543589103444,2022,11150,양천구,426981,208521,218460,30874,46063,51280,52596,72232,73864,60733,30335,11757,1605,49611,306740,70630,0.1200990207995203,0.1231811251554518,0.1691691199374211,0.17299130406271,0.1422381792164054,0.1023394483595288,0.1654171965497294,0.7183926216857425,0.51163869118298,2022
8회지방선거_광역의원비례,서울특별시,영등포구,20220601,8,340017,181080,179533,1547,72110,97937,391,451.0,131.0,121.0,82.0,8310.0,영등포구,서울특별시,0.4016531779672818,0.5455097391565896,0.002177872591668384,0.0025120729893668573,0.0007296708683083333,0.0006739708020252545,0.0004567405435212468,0.04628675508123855,2022,11190,영등포구,401805,198830,202975,26806,22664,57419,73915,59115,65201,56097,28472,13034,1551,35699,298529,67577,0.1429026517838255,0.1839573922673933,0.1471236047336394,0.1622702554721817,0.1396124986000672,0.1071589452595164,0.168183571633006,0.7429698485583803,0.5051579746394396,2022
8회지방선거_광역의원비례,서울특별시,용산구,20220601,8,199061,104770,103915,855,36114,61630,238,928.0,62.0,69.0,44.0,4830.0,용산구,서울특별시,0.3475340422460665,0.5930808834143291,0.002290333445604581,0.008930375787903575,0.0005966414858297647,0.0006640042342298994,0.000423422989943704,0.04648029639609296,2022,11030,용산구,219282,105469,113813,14715,13455,32658,39446,32765,34817,28488,15072,8139,1116,19807,162608,36867,0.1489315128464716,0.1798870860353335,0.1494194689942631,0.1587772822210669,0.1299149040960954,0.1109393383861876,0.1681259747722111,0.7415474138324167,0.5190257294260359,2022
8회지방선거_광역의원비례,서울특별시,은평구,20220601,8,418387,215937,214005,1932,98827,103436,533,1375.0,152.0,125.0,97.0,9460.0,은평구,서울특별시,0.4617976215508983,0.4833345015303381,0.0024905960141118197,0.006425083526085839,0.0007102637788836709,0.0005840985023714399,0.00045326043784023735,0.04420457465947057,2022,11120,은평구,454649,216315,238334,28930,34973,60296,64719,69761,74531,66291,38293,18221,1969,42114,324489,88046,0.1326209889387197,0.1423493728128732,0.1534392465396382,0.1639308565508777,0.1458069851687785,0.1286332973348671,0.1936570849160561,0.7137132161293658,0.5242153837355851,2022
8회지방선거_광역의원비례,서울특별시,종로구,20220601,8,129816,70639,70053,586,28921,36605,170,610.0,35.0,39.0,45.0,3628.0,종로구,서울특별시,0.4128445605470144,0.5225329393459238,0.0024267340442236593,0.008707692746920188,0.000499621714987224,0.0005567213395571924,0.000642370776412145,0.051789359484961384,2022,11010,종로구,147512,70318,77194,7123,11181,28268,20200,20040,23874,19866,10994,6011,817,10650,110329,26533,0.1916318672379196,0.1369380118227669,0.1358533543033787,0.1618444601117197,0.1346737892510439,0.120817289440859,0.1798701122620532,0.7479323716036661,0.5233065784478551,2022
8회지방선거_광역의원비례,서울특별시,중구,20220601,8,112039,60315,59710,605,25028,31924,100,167.0,37.0,39.0,19.0,2396.0,중구,서울특별시,0.41915926980405294,0.534650812259253,0.0016747613465081226,0.002796851448668565,0.0006196616982080054,0.0006531569251381678,0.00031820465583654327,0.040127281862334614,2022,11020,중구,125257,59795,65462,6793,6709,20791,21260,17137,19653,17991,9953,4908,694,8986,92579,23692,0.1659867312804873,0.1697310329961599,0.1368147089583815,0.1569014106996016,0.1436326911869196,0.1241846763055158,0.1891471135345729,0.7391123849365704,0.5226214902161157,2022
