election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_우리공화당,party_민중당,party_가자!평화인권당,party_공화당,party_국가혁명배당금당,party_국민새정당,party_민중민주당,party_한나라당,party_미래당,party_한국복지당,party_기본소득당,party_통일민주당,party_친박신당,party_기독자유통일당,party_노동당,party_충청의미래당,party_국민의힘,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_우리공화당,ratio_민중당,ratio_가자!평화인권당,ratio_공화당,ratio_국가혁명배당금당,ratio_국민새정당,ratio_민중민주당,ratio_한나라당,ratio_미래당,ratio_한국복지당,ratio_기본소득당,ratio_통일민주당,ratio_친박신당,ratio_기독자유통일당,ratio_노동당,ratio_충청의미래당,ratio_국민의힘,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
21대국회의원선거_지역구,경기도,안산시상록구,40400830,4,296552,178613,176255,2358,102620,658.0,2004.0,0.0,0.0,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69114.0,0.0,안산시상록구,안산시상록구갑,0.5822246177413407,0.003733227426172307,0.011369890215880401,0.0,0.0,0.010547218518623586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39212504609798304,0.0,2017,31091,안산시 상록구,379209,193021,186188,34021,42180,61802,54759,69614,66954,29473,15921,7001,975,47643,296550,35016,0.1629760897025123,0.1444032182780472,0.1835768665828079,0.1765622651361122,0.0777223114430301,0.0630180190870997,0.09233958054793,0.78202257857804,0.490990456450137,2017
21대국회의원선거_지역구,경기도,안성시,20200415,2,155021,98475,96647,1828,49721,0.0,0.0,0.0,0.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45554.0,0.0,안성시,안성시,0.514459838380912,0.0,0.0,0.0,0.0,0.014195991598290686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4713441700207973,0.0,2017,31220,안성시,198832,103648,95184,18853,21105,28219,30228,32240,30218,19819,12708,6404,869,25598,145045,28189,0.1419238351975537,0.1520278426007886,0.1621469381186127,0.1519775488854912,0.0996771143477911,0.1004918725356079,0.1417729540516617,0.7294851935302165,0.4787156996861672,2017
21대국회의원선거_지역구,경기도,안양시동안구,40400830,4,267895,195465,193663,1802,106081,0.0,0.0,0.0,0.0,894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78817.0,7871.0,안양시동안구,안양시동안구갑,0.5477608009790202,0.0,0.0,0.0,0.0,0.004616266400912926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4069801665780247,0.0406427660420421,2017,31042,안양시 동안구,322590,158660,163930,31732,37238,44131,47451,59481,55867,29417,13775,6018,769,45229,245932,31429,0.1368021327381506,0.1470938342788059,0.1843857528131684,0.1731826777023466,0.0911900554883908,0.0637403515298056,0.0974270746148361,0.7623670913543508,0.5081682631203696,2017
21대국회의원선거_지역구,경기도,안양시만안구,20200415,2,210881,141903,140399,1504,75266,0.0,0.0,0.0,0.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59438.0,4706.0,안양시만안구,안양시만안구,0.5360864393621038,0.0,0.0,0.0,0.0,0.007044209716593423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42335059366519706,0.03351875725610581,2017,31041,안양시 만안구,254107,127061,127046,20891,22715,37806,37813,39904,46702,29087,14675,5604,727,28361,193340,32406,0.1487798447110862,0.1488073921615697,0.1570362091559854,0.183788718925492,0.1144675274589051,0.0826659635507876,0.1275289543381331,0.7608605823531032,0.499970484874482,2017
21대국회의원선거_지역구,경기도,양주시,20200415,2,184804,112865,111589,1276,69905,0.0,0.0,0.0,0.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40414.0,0.0,양주시,양주시,0.6264506358153581,0.0,0.0,0.0,0.0,0.011381050103504826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36216831408113703,0.0,2017,31260,양주시,212631,109115,103516,22521,23344,25489,29634,38395,33689,21959,13737,5437,762,31263,152570,28798,0.1198743362915097,0.1393682012500529,0.1805710362082669,0.1584387977293997,0.1032728059408082,0.0937586711250946,0.135436507376629,0.717534131899864,0.4868339988054423,2017
21대국회의원선거_지역구,경기도,양평군,20200415,2,101727,69732,68987,745,26761,339.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39129.0,2370.0,양평군,여주시양평군,0.3879136648933857,0.0049139692985634975,0.0,0.0,0.0,0.005624248046733443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5671938191253425,0.034354298635974896,2017,31580,양평군,109359,54876,54483,8873,10260,10459,11433,15588,19740,16877,11293,5048,709,12348,72761,24250,0.0956391334961,0.1045455792390201,0.1425397086659534,0.1805064055084629,0.1543265757733702,0.1559085214751415,0.22174672409221,0.6653407584195173,0.4982031657202425,2017
21대국회의원선거_지역구,경기도,여주시,20200415,2,95778,60124,59381,743,24813,411.0,0.0,0.0,0.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31446.0,2204.0,여주시,여주시양평군,0.41786093194792945,0.0069214058368838515,0.0,0.0,0.0,0.008538084572506358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529563328337347,0.03711624930533335,2017,31280,여주시,111476,56779,54697,9503,11135,13368,13798,16800,19239,14159,9409,4438,594,13229,77958,20289,0.1199181886684129,0.1237755211884172,0.1507050845024938,0.172584233377588,0.127013886397072,0.1295435788869353,0.1820033011589938,0.6993254153360364,0.4906616670852919,2017
21대국회의원선거_지역구,경기도,연천군,20200415,2,38284,25577,25097,480,10237,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14472.0,0.0,연천군,동두천시연천군,0.40789735824999,0.0,0.0,0.0,0.0,0.015460015141251943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576642626608758,0.0,2017,31550,연천군,43990,23259,20731,3655,3484,5645,4924,5490,7441,6223,4941,2175,302,4856,29094,10040,0.1283246192316435,0.1119345305751307,0.1248010911570811,0.1691520800181859,0.1414639690838827,0.1686292339167992,0.2282336894748806,0.661377585814958,0.4712661968629233,2017
21대국회의원선거_지역구,경기도,오산시,20200415,2,182471,110578,109183,1395,61926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44834.0,2423.0,오산시,오산시,0.5671762087504465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4106316917468837,0.02219209950266983,2017,31140,오산시,219877,112936,106941,29741,24132,28127,42758,41179,29577,15501,8252,2964,371,38917,163266,17694,0.1279215197587742,0.1944632680998922,0.1872819803799397,0.1345161158283949,0.0704985059828904,0.0526976445922038,0.0804722640385306,0.7425333254501381,0.4863673781250426,2017
21대국회의원선거_지역구,경기도,용인시기흥구,40400830,4,426313,300951,298525,2426,169491,0.0,470.0,0.0,0.0,1329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,123029.0,3938.0,용인시기흥구,용인시을,0.5677614940122268,0.0,0.0015744075035591658,0.0,0.0,0.004451888451553471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008977472573486308,0.0,0.0,0.0,0.41212293777740555,0.013191524997906373,2017,31192,용인시 기흥구,415720,205754,209966,54105,50023,51764,63773,82146,54169,33625,22290,8081,1293,73323,296014,46383,0.1245165014913884,0.1534037332820167,0.197599345713461,0.1303016453382084,0.0808837679207158,0.0761666506302318,0.1115726931588569,0.7120513807370346,0.5050659097469451,2017
