election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_대한애국당,party_민중당,party_우리미래,party_녹색당,party_한국국민당,party_노동당,party_대한당,party_국민의힘,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_대한애국당,ratio_민중당,ratio_우리미래,ratio_녹색당,ratio_한국국민당,ratio_노동당,ratio_대한당,ratio_국민의힘,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
7회지방선거_기초의원지역구,경기도,고양시일산서구,80722452,24,222085,132784,128406,4378,71185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32360.0,10995.0,고양시일산서구,고양시차선거구,0.6214859437751004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2825213899074559,0.09599266631744369,2017,31104,고양시 일산서구,286804,139184,147620,28765,35715,36676,36160,56775,50007,22851,14894,7253,825,41808,213452,31544,0.1278782722695639,0.126079134182229,0.1979574901326341,0.1743594928941019,0.079674620995523,0.0800965119035996,0.1099845190443647,0.7442434554608722,0.514706907853447,2017
7회지방선거_기초의원지역구,경기도,과천시,40361226,12,46715,32764,31837,927,5349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5729.0,6811.0,과천시,과천시가선거구,0.29901056515176927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32025266923807927,0.3807367656101515,2017,31110,과천시,53583,26267,27316,4806,6450,6959,6379,9518,9621,5476,3167,1540,210,7157,39384,7042,0.1298732807047011,0.1190489520930145,0.1776309650448836,0.1795532165052348,0.1021965922027508,0.0917641789373495,0.1314222794543045,0.7350092380045911,0.5097885523393614,2017
7회지방선거_기초의원지역구,경기도,광명시,80722452,24,270792,166820,161091,5729,38126.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,31113.0,25621.0,광명시,광명시가선거구,0.3988909813768571,0.0,0.007532956685499058,0.0,0.0,0.0,0.0,0.0,0.32551789077212806,0.2680581711655158,2017,31060,광명시,328253,162480,165773,34078,34919,40448,51185,59359,53460,34096,16954,6454,711,46975,243806,37472,0.1232220269121683,0.1559315527961663,0.1808330769254203,0.1628621825238459,0.1038710994263571,0.0734768608360015,0.1141558492991686,0.7427380709391841,0.5050159480644503,2017
7회지방선거_기초의원지역구,경기도,광주시,80722452,24,287993,156083,149341,6742,43498.0,0.0,412.0,0.0,0.0,0.0,604.0,0.0,32321.0,18045.0,광주시,광주시가선거구,0.45845278246205734,0.0,0.004342327150084317,0.0,0.0,0.0,0.006365935919055649,0.0,0.34065134907251265,0.19018760539629004,2017,31250,광주시,341046,176877,164169,37633,32101,42104,60224,59094,54170,34804,17171,6052,883,49263,253928,37855,0.1234554869431103,0.1765861496689596,0.1732728136380429,0.1588348785794291,0.1020507497522328,0.0706825472223688,0.1109967570357078,0.7445564527952241,0.4813690821765978,2017
7회지방선거_기초의원지역구,경기도,구리시,40361226,12,165295,97689,92991,4698,26680.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,8331.0,8133.0,구리시,구리시가선거구,0.6072469045884924,0.018026219956300073,0.0,0.0,0.0,0.0,0.0,0.0,0.1896167152221413,0.18511016023306628,2017,31120,구리시,189745,93904,95841,18441,19947,25370,27546,34099,33424,18441,10197,3570,454,25579,142714,21452,0.1337057629977074,0.1451737858705104,0.1797096102664102,0.1761522042741574,0.0971883317083454,0.0749479564678911,0.1130569975493425,0.7521357611531265,0.5051042188199952,2017
7회지방선거_기초의원지역구,경기도,군포시,80722452,24,228999,144489,139700,4789,74376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33568.0,17065.0,군포시,군포시가선거구,0.5949651625082994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26852466622403187,0.13651017126766873,2017,31160,군포시,280913,139468,141445,29105,29190,37303,44118,49353,48074,25736,13498,6347,866,39663,210847,30403,0.1327920032180782,0.1570521834162178,0.1756878464150822,0.171134835340479,0.0916155535699665,0.0737274529836639,0.1082292382339016,0.7505775809592293,0.5035188830705593,2017
7회지방선거_기초의원지역구,경기도,김포시,80722452,24,316246,180007,173816,6191,61691.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,29861.0,16560.0,김포시,김포시가선거구,0.5689267204013502,0.0,0.002969548296659719,0.0,0.0,0.0,0.0,0.0,0.27538410461663315,0.152719626685357,2017,31230,김포시,392436,202237,190199,51876,39270,43913,70583,70892,56089,35737,19923,7529,1014,67416,281794,43226,0.1118985006472393,0.1798586266295651,0.1806460161656932,0.1429252158313712,0.0910645302673557,0.0725366683994332,0.1101478967271096,0.7180635823420889,0.4846624672558073,2017
7회지방선거_기초의원지역구,경기도,남양주시,141264291,42,537349,294673,283618,11055,66382.0,0.0,4279.0,0.0,0.0,0.0,0.0,0.0,50776.0,28073.0,남양주시,남양주시가선거구,0.44399705705303993,0.0,0.028620159186676476,0.0,0.0,0.0,0.0,0.0,0.3396160791920273,0.1877667045682563,2017,31130,남양주시,644936,322289,322647,74789,72682,73290,91954,120569,101297,63905,37967,14210,1866,102283,462109,80544,0.1136391828026346,0.1425784884081521,0.1869472319734051,0.1570651971668506,0.099087351303075,0.083795911532307,0.1248868104742176,0.7165191584901448,0.5002775469193842,2017
7회지방선거_기초의원지역구,경기도,동두천시,40361226,12,80603,43670,41487,2183,7043.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,6250.0,6170.0,동두천시,동두천시가선거구,0.35454316637301786,0.020236597029952178,0.0,0.0,0.0,0.0,0.0,0.0,0.31462371004278883,0.31059652655424114,2017,31080,동두천시,97373,48666,48707,9122,10154,11266,12706,16195,15849,10736,8301,3503,498,12579,67923,16871,0.1156994238649317,0.1304879175952266,0.1663192055292535,0.1627658591190576,0.1102564365891982,0.1263389235208938,0.1732615817526419,0.697554763640845,0.5002105306399105,2017
7회지방선거_기초의원지역구,경기도,부천시,201806130,60,715281,395852,383269,12583,104918.0,0.0,1935.0,0.0,0.0,0.0,0.0,0.0,70401.0,44049.0,부천시,부천시가선거구,0.474092081896766,0.0,0.008743668183440802,0.0,0.0,0.0,0.0,0.0,0.31812040505551215,0.1990438448642811,6051.0,93156.0,부천시,845514.0,420656.0,424858.0,76194.0,80043.0,121987.0,131770.0,140887.0,154031.0,88671.0,40117.0,16811.0,2292.0,103761.0,649082.0,92671.0,0.1442755530955135,0.15584602975231635,0.1666288198657858,0.182174393327609,0.10487230252840284,0.07004023588018649,0.10960315263851338,0.7676774127926917,0.5024848790203356,2017
