election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_녹색당,party_통일한국당,party_미래당,party_시대전환,party_우리공화당,party_혁명21,party_독도당,party_신한반도평화체제당,party_기독당,party_노동당,party_깨어있는시민연대당,party_한류연합당,party_자유통일당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_녹색당,ratio_통일한국당,ratio_미래당,ratio_시대전환,ratio_우리공화당,ratio_혁명21,ratio_독도당,ratio_신한반도평화체제당,ratio_기독당,ratio_노동당,ratio_깨어있는시민연대당,ratio_한류연합당,ratio_자유통일당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
8회지방선거_기초의원지역구,강원도,강릉시,121323606,36,185804,101927,96505,5422,16518.0,23201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5217.0,강릉시,강릉시가선거구,0.3675894605661385,0.5163120883033648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1160984511304967,2022,32030,강릉시,215128,107563,107565,13793,18792,28759,21081,30545,35509,35562,20066,10951,1719,20578,145962,48588,0.1336832025584768,0.0979928228775426,0.1419852366962924,0.165059871332416,0.1653062362872336,0.1521698709605444,0.2258562344278755,0.6784890855676621,0.500004648395374,2022
8회지방선거_기초의원지역구,강원도,고성군,40441202,12,24776,16776,15979,797,2479.0,1916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,고성군,고성군가선거구,0.45729570190001845,0.35344032466334624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892639734366353,2022,32600,고성군,27127,14275,12852,1446,1501,3307,2531,3008,4407,5512,3279,2005,287,2037,17001,8089,0.1219080620783721,0.0933018763593467,0.1108858333026136,0.1624580676079183,0.203192391344417,0.2053673461864563,0.2981899952077266,0.6267187672798319,0.4737715191506617,2022
8회지방선거_기초의원지역구,강원도,동해시,40441202,12,76886,42045,40111,1934,5635.0,4989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4850.0,동해시,동해시가선거구,0.36415923484554735,0.3224117875145405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134289776399121,2022,32040,동해시,86772,44153,42619,6735,7707,7787,8540,13808,15278,14790,8147,4273,576,10020,57089,19663,0.0897409302539989,0.0984188447886414,0.1591296731664592,0.176070621859586,0.1704466878716636,0.149771815793113,0.2266053565666343,0.6579196054026645,0.4911607430968515,2022
8회지방선거_기초의원지역구,강원도,삼척시,40441202,12,57023,37548,35984,1564,5287.0,7212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2893.0,삼척시,삼척시가선거구,0.34349012474012475,0.46855509355509356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1879547817047817,2022,32070,삼척시,64289,33295,30994,3826,5312,8386,5264,8147,10412,11696,6948,4101,643,5597,41776,16916,0.1304422218419947,0.0818802594534057,0.1267246340742584,0.1619561666848138,0.1819284792110625,0.1818662601689247,0.2631243292009519,0.6498156760876667,0.482104248005102,2022
8회지방선거_기초의원지역구,강원도,속초시,40441202,12,71621,37092,34929,2163,8048.0,7356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,속초시,속초시가선거구,0.4801909307875895,0.4389021479713604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08090692124105012,2022,32060,속초시,80903,40449,40454,6113,6392,7848,9279,11948,14870,14044,6944,3587,593,8850,54736,17317,0.0970050554367576,0.1146929038478177,0.1476830278234429,0.1838003535097586,0.173590596146002,0.1374979914218261,0.2140464506878607,0.6765632918433185,0.5000309012026748,2022
8회지방선거_기초의원지역구,강원도,양구군,40441202,12,18552,12803,12306,497,1166.0,2088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2796.0,양구군,양구군가선거구,0.19272727272727272,0.34512396694214875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4621487603305785,2022,32580,양구군,20824,10970,9854,1721,1800,2345,2572,2448,3172,3662,1855,1270,160,2360,13606,4858,0.1126104494813676,0.1235113330772186,0.1175566653860929,0.1523242412600845,0.1758547829427583,0.1577506723011909,0.2332885132539377,0.6533807145601229,0.4732039953899347,2022
8회지방선거_기초의원지역구,강원도,양양군,40441202,12,25359,16671,16009,662,3280.0,2169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.0,양양군,양양군가선거구,0.4118016321406152,0.27231638418079096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158819836785938,2022,32610,양양군,26566,13501,13065,1312,1528,1944,2167,3285,4668,5833,3618,2058,305,1953,15934,8679,0.0731762403071595,0.0815704283670857,0.1236542949634871,0.1757133177745991,0.219566363020402,0.2251373936610705,0.3266957765565008,0.5997892042460288,0.4917940224346909,2022
8회지방선거_기초의원지역구,강원도,영월군,40441202,12,34371,22803,21664,1139,3138.0,3294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.0,영월군,영월군가선거구,0.34506267868924567,0.3622168462722674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2927204750384869,2022,32530,영월군,35654,18364,17290,1694,2410,2504,2501,4073,6543,8217,4717,2858,348,2571,21460,11623,0.0702305491669938,0.0701464071352443,0.1142368317720311,0.183513771245863,0.230465024962136,0.2222191058506759,0.325994278341841,0.6018960004487575,0.4849385763168228,2022
8회지방선거_기초의원지역구,강원도,원주시,161764808,48,304060,157494,148060,9434,25800.0,40152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5239.0,원주시,원주시가선거구,0.3624053602281187,0.5640038768945512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07359076287733,2022,32020,원주시,361810,180022,181788,29855,35354,47204,45656,56032,60870,51331,23104,13832,2076,43676,258000,60134,0.1304662668251292,0.1261877781155855,0.1548658135485476,0.1682374727066692,0.1418728061689837,0.1078245487963295,0.1662032558525192,0.7130814515906139,0.5024405074486609,2022
8회지방선거_기초의원지역구,강원도,인제군,40441202,12,27939,18538,17770,768,2178.0,1796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648.0,인제군,인제군가선거구,0.3874066168623266,0.31945926716471007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29313411597296335,2022,32590,인제군,30905,16830,14075,2641,2022,3611,4085,3909,4795,5639,2644,1584,242,3514,20459,6932,0.1168419349619802,0.1321792590195761,0.1264843876395405,0.1551528878822197,0.1824623847273904,0.1446367901634039,0.2243002750364018,0.6619964407053874,0.4554279242840964,2022
