election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_가락특권폐지당,party_대한국민당,party_민중민주당,party_한국국민당,party_녹색정의당,party_기후민생당,party_내일로미래로,party_자유통일당,party_새진보연합,party_우리공화당,party_자유민주당,party_소나무당,party_기독당,party_노동당,party_한국농어민당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_가락특권폐지당,ratio_대한국민당,ratio_민중민주당,ratio_한국국민당,ratio_녹색정의당,ratio_기후민생당,ratio_내일로미래로,ratio_자유통일당,ratio_새진보연합,ratio_우리공화당,ratio_자유민주당,ratio_소나무당,ratio_기독당,ratio_노동당,ratio_한국농어민당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
22대국회의원선거_지역구,충청북도,단양군,20240410,2,25374,18296,18010,286,6411.0,10157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442.0,단양군,제천시단양군,0.3559689061632426,0.563964464186563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08006662965019434,2024,33580,단양군,26597,13604,12993,950,1471,1568,1790,2595,4835,6941,4003,2268,298,1532,15071,9994,0.0589540173703801,0.0673008234011354,0.0975673948189645,0.1817874196337932,0.2609692822498778,0.246982742414558,0.3757566642854457,0.5666428544572696,0.4885137421513704,2024
22대국회의원선거_지역구,충청북도,보은군,20240410,2,28287,20846,20560,286,9838.0,10722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,보은군,보은군옥천군영동군괴산군,0.47850194552529185,0.5214980544747082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33520,보은군,29858,15033,14825,1166,1681,1791,1993,2678,5024,7416,4513,3144,595,1874,15998,11986,0.0599839239064907,0.0667492799249782,0.0896912050371759,0.1682631120637685,0.2483756447183334,0.276374840913658,0.4014334516712439,0.5358027999196195,0.4965168464063232,2024
22대국회의원선거_지역구,충청북도,영동군,20240410,2,40091,28575,28182,393,13087.0,15095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,영동군,보은군옥천군영동군괴산군,0.46437442339081686,0.5356255766091832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33540,영동군,43730,22022,21708,1668,2790,3689,2937,4241,7537,9977,6348,4160,602,2754,24892,16084,0.0843585639149325,0.0671621312600045,0.0969814772467413,0.1723530756917448,0.2281500114337983,0.2540589983992682,0.3678024239652412,0.5692202149554082,0.4964097873313515,2024
22대국회의원선거_지역구,충청북도,옥천군,20240410,2,43972,31703,31209,494,15357.0,15852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,옥천군,보은군옥천군영동군괴산군,0.4920695953090455,0.5079304046909545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33530,옥천군,47416,24179,23237,2025,3381,3615,3450,5352,8157,10481,6598,3952,682,3388,27600,16428,0.0762400877340982,0.072760249704741,0.1128732917158765,0.1720305382149485,0.2210435296102581,0.2368820651256959,0.3464653281592711,0.5820819976379281,0.490066644170744,2024
22대국회의원선거_지역구,충청북도,음성군,20240410,2,80441,50994,50431,563,25875.0,24556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,음성군,증평군진천군음성군,0.5130772738989907,0.4869227261010093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33570,음성군,106652,60360,46292,5049,7411,13820,14797,14382,18727,18216,8952,5071,824,7916,75498,23238,0.1295803172936278,0.1387409518808836,0.1348497918463788,0.1755897685931815,0.1707984847916588,0.1392097663428721,0.2178862093537861,0.7078910850241908,0.4340471814874545,2024
22대국회의원선거_지역구,충청북도,제천시,20240410,2,114394,77115,76115,1000,32596.0,36375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7144.0,제천시,제천시단양군,0.4282467319188071,0.47789529002167774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0938579780595152,2024,33030,제천시,130733,66079,64654,7508,10893,15453,12024,15718,22742,24811,13812,7614,1081,11591,84438,34704,0.1182027491146076,0.0919737174240627,0.1202297813099982,0.173957608254993,0.1897837577352313,0.1721600514024768,0.2654570766371153,0.6458813000543092,0.4945499606067328,2024
22대국회의원선거_지역구,충청북도,증평군,20240410,2,32047,20092,19879,213,10750.0,9129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,증평군,증평군진천군음성군,0.5407716685949997,0.45922833140500025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33590,증평군,38180,19957,18223,2837,3386,4398,4950,5489,6354,6005,3121,1720,255,4259,26001,7920,0.1151911995809324,0.1296490309062336,0.1437663698271346,0.1664222105814562,0.1572812991094814,0.1334730225248821,0.2074384494499738,0.6810110005238345,0.4772917757988476,2024
22대국회의원선거_지역구,충청북도,진천군,20240410,2,72649,45809,45290,519,25745.0,19545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,진천군,증평군진천군음성군,0.5684477809671009,0.4315522190328991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33550,진천군,96544,52962,43582,7631,8557,10606,14694,16156,15667,13302,6352,3800,638,11326,68490,16728,0.1098566456745111,0.1522000331455087,0.1673433874709976,0.1622783394100099,0.1377817368246602,0.1117625124295658,0.173268147166059,0.709417467683129,0.4514211136890951,2024
22대국회의원선거_지역구,충청북도,청주시상당구,20240410,2,169036,109208,108065,1143,55602.0,49905,0.0,0.0,0.0,0.0,1761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0,청주시상당구,청주시상당구,0.5145236663119419,0.46180539490121686,0.0,0.0,0.0,0.0,0.016295747929486883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00737519085735437,2024,33041,청주시 상당구,195499,97260,98239,16081,19276,21151,24487,29576,34305,29412,14367,7610,1128,24285,134763,36451,0.1081898117125918,0.1252538376155376,0.1512846613026153,0.1754740433454902,0.1504457823313674,0.1181847477480703,0.1864510815912101,0.6893283341602771,0.5025038491245479,2024
22대국회의원선거_지역구,충청북도,청주시서원구,20240410,2,161145,105939,104523,1416,54835.0,49688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,청주시서원구,청주시서원구,0.5246213751997169,0.4753786248002832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33042,청주시 서원구,190979,95333,95646,11174,18938,29859,21648,25912,33409,28700,14224,7391,1160,17891,137088,36000,0.1563470329198498,0.113352777006896,0.1356798391446179,0.1749354641086192,0.1502783028500516,0.1192539493871053,0.1885024007875211,0.7178171421988805,0.5008194618256457,2024
22대국회의원선거_지역구,충청북도,청주시청원구,20240410,2,158647,100091,98749,1342,52620.0,46129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,청주시청원구,청주시청원구,0.5328661556066391,0.4671338443933609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33044,청주시 청원구,195842,101466,94376,16352,20220,27287,28981,31969,29318,24142,11755,6708,1094,24611,140479,30752,0.1393317061713013,0.1479815361362731,0.1632387332645704,0.14970231104666,0.1232728423933579,0.099861112529488,0.1570245401905617,0.7173078297811502,0.4818986734204103,2024
22대국회의원선거_지역구,충청북도,청주시흥덕구,20240410,2,231288,141730,139805,1925,72375.0,62334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5096.0,청주시흥덕구,청주시흥덕구,0.5176853474482315,0.4458638818354136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03645077071635492,2024,33043,청주시 흥덕구,291048,148337,142711,25597,27086,40106,49454,46024,46527,35670,15010,7092,1145,36925,215273,38850,0.1377985761798741,0.1699169896374481,0.1581319919738325,0.1598602292405376,0.1225571039828481,0.0798734229405458,0.1334831368021769,0.7396477556966549,0.4903349275720843,2024
22대국회의원선거_지역구,충청북도,충주시,20240410,2,181005,119216,117996,1220,57682.0,60314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,충주시,충주시,0.48884707956201906,0.511152920437981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,33020,충주시,215904,110806,105098,13136,18495,26740,24615,28701,36634,36745,19069,11457,1823,20158,145973,49773,0.1238513413368904,0.1140090040017785,0.1329340818141396,0.1696772639691715,0.1701913813546761,0.1498304802134281,0.2305330146731881,0.676101415443901,0.486781161997925,2024
