election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_기본소득당,party_노동당,party_신자유민주연합,party_우리공화당,party_통일한국당,party_한류연합당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_기본소득당,ratio_노동당,ratio_신자유민주연합,ratio_우리공화당,ratio_통일한국당,ratio_한류연합당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
20대대통령선거,서울특별시,관악구,20220309,1,446161,340773,336394,4379,169284,151979,309,110.0,103,246,98,116,14149,관악구,대한민국,0.5032313299285956,0.45178867637353815,0.0009185657294719882,0.00032699750887352333,0.00030618857649066276,0.000731285338026243,0.00029132505336004804,0.0003448337366302609,0.042060797755013465,2022,11210,관악구,496743,248148,248595,20630,26485,115556,88770,63680,67816,61823,37321,15337,1548,29651,385034,82058,0.2326273344566506,0.1787040783664792,0.128195062638024,0.136521299746549,0.1244567110155553,0.1091228260891446,0.1651920610859136,0.7751171128732564,0.500449930849554,2022
20대대통령선거,서울특별시,광진구,20220309,1,303582,235471,232918,2553,109922,113769,155,52.0,62,180,38,80,8660,광진구,대한민국,0.4719343288195846,0.4884508711220258,0.0006654702513330872,0.0002232545359311002,0.0002661881005332349,0.0007728041628384238,0.0001631475454881117,0.00034346851681707724,0.03718046694544861,2022,11050,광진구,346519,165843,180676,18659,24446,66920,55951,49099,54297,45351,22711,10006,1231,27546,265456,53517,0.193120723538969,0.1614658936450815,0.1416920861482343,0.1566927066048326,0.1308759404246232,0.0979686539554829,0.1544417477829498,0.7660647756688667,0.5214028667980688,2022
20대대통령선거,서울특별시,구로구,20220309,1,348156,272920,270395,2525,133027,127162,159,59.0,75,193,54,89,9577,구로구,대한민국,0.4919728545276355,0.47028236468869616,0.0005880286247896596,0.00021819930102257807,0.0002773719928253111,0.0007137705948704673,0.000199707834834224,0.0003291480981527025,0.03541855433717339,2022,11170,구로구,424038,210737,213301,28207,28325,53096,66323,64581,71487,65637,34182,13586,1532,39336,306010,78692,0.1252151929779878,0.1564081520995759,0.152300029714318,0.1685863059442786,0.1547903725609497,0.1162631650936944,0.1855777076582759,0.7216570213046944,0.5030233139482783,2022
20대대통령선거,서울특별시,금천구,20220309,1,208786,157035,155534,1501,80208,69250,106,52.0,38,119,48,70,5643,금천구,대한민국,0.5156943176411588,0.4452402690087055,0.0006815230110458163,0.0003343320431545514,0.0002443195699975568,0.0007651060218344542,0.0003086141936811244,0.00045006236578497305,0.03628145614463719,2022,11180,금천구,247185,125201,121984,12854,13496,36859,40692,33410,44229,39275,19178,7700,853,17881,184924,44380,0.1491150352974492,0.1646216396626008,0.135161923255861,0.1789307603616724,0.1588890911665351,0.1121872281894127,0.1795416388534903,0.7481198292776665,0.4934927281186156,2022
20대대통령선거,서울특별시,노원구,20220309,1,441879,349297,345873,3424,169275,163386,207,76.0,96,242,76,112,12403,노원구,대한민국,0.4894137443512503,0.4723872635331466,0.0005984855712935095,0.0002197338329386798,0.00027755852581727976,0.0006996787838310594,0.0002197338329386798,0.00032381828012015973,0.03585998328866376,2022,11110,노원구,496423,238120,258303,32215,48168,69746,60586,76763,84127,70550,37836,18047,2428,49920,356706,89797,0.1404971163705146,0.1220451107221059,0.1546322390380784,0.1694663623562969,0.1421167028924929,0.1174623254764585,0.180888073276218,0.7185525247621484,0.5203284295852529,2022
20대대통령선거,서울특별시,도봉구,20220309,1,281812,216036,214155,1881,106546,99826,127,53.0,48,136,41,77,7301,도봉구,대한민국,0.49751815273983796,0.4661390114636595,0.0005930284139992062,0.0002474842987555742,0.00022413672340127478,0.0006350540496369452,0.00019145011790525554,0.0003595526604562116,0.03409212953234807,2022,11100,도봉구,304137,146600,157537,17448,22459,38668,37323,43106,53293,51021,27824,13388,1708,25883,212439,65815,0.1271400717439837,0.1227177226052732,0.1417321799057661,0.1752269536426018,0.167756635989702,0.1411206134077734,0.216399188523593,0.6984977164896083,0.5179803838401773,2022
20대대통령선거,서울특별시,동대문구,20220309,1,300928,232106,229637,2469,108171,112922,151,44.0,55,184,80,78,7952,동대문구,대한민국,0.4710521388103833,0.4917413134642937,0.0006575595396212283,0.0001916067532671129,0.0002395084415838911,0.0008012646045715629,0.0003483759150311143,0.0003396665171553365,0.03462856595409276,2022,11060,동대문구,350709,169670,181039,20726,23756,70468,50138,47956,51054,47176,27396,12787,1352,28934,258825,62950,0.2009301158510331,0.1429618287526125,0.1367401463891716,0.1455736807438645,0.1345160802830837,0.1184315201491835,0.1794935402285085,0.7380050127028391,0.5162085945898166,2022
20대대통령선거,서울특별시,동작구,20220309,1,342248,271510,268708,2802,122914,135768,161,56.0,85,140,51,66,9467,동작구,대한민국,0.45742590469952515,0.5052622177233279,0.0005991634041412983,0.0002084046623100168,0.00031632850529198983,0.0005210116557750421,0.00018979710317519388,0.0002456197805796627,0.035231552465873735,2022,11200,동작구,386605,186536,200069,23564,26679,70343,60154,54950,57734,51342,29804,12951,1529,33111,286129,67365,0.1819505697029267,0.1555955044554519,0.1421347370054707,0.1493358854644921,0.1328022141462216,0.1145458542957282,0.1742476170768614,0.7401068273819531,0.5175023602902187,2022
20대대통령선거,서울특별시,마포구,20220309,1,324091,256218,253554,2664,117916,124361,180,71.0,75,160,50,58,10683,마포구,대한민국,0.46505280926350995,0.4904714577565331,0.0007099079486026645,0.00028001924639327325,0.00029579497858444356,0.0006310292876468129,0.00019719665238962904,0.00022874811677196967,0.04213303674956814,2022,11140,마포구,362415,168773,193642,24117,26354,64667,62853,56727,53511,40589,22995,11692,1452,34115,274443,53857,0.1784335637321854,0.1734282521418815,0.1565249782707669,0.1476511733785853,0.1119959162838182,0.0997171750617386,0.1486058799994481,0.7572617027440918,0.534310114095719,2022
20대대통령선거,서울특별시,서대문구,20220309,1,269615,210460,208352,2108,100702,98954,119,57.0,38,153,47,63,8219,서대문구,대한민국,0.4833262939640608,0.47493664567654736,0.0005711488250652742,0.00027357548763630777,0.0001823836584242052,0.0007343342036553525,0.00022557978805099062,0.00030237290738749806,0.03944766548917217,2022,11130,서대문구,318308,146857,171451,20376,23840,62869,45056,44154,47691,39801,22998,12243,1407,28463,235716,54129,0.1975099589077246,0.1415484373625545,0.1387147039973861,0.1498265830579187,0.1250392701408698,0.115133769807859,0.1700522764115259,0.7405280420221924,0.538632393782123,2022
20대대통령선거,서울특별시,서초구,20220309,1,344756,277878,275558,2320,88686,179490,105,52.0,98,186,35,49,6857,서초구,대한민국,0.321841499793147,0.651369221724646,0.0003810450068588101,0.00018870800339674406,0.00035564200640155613,0.0006749940121498923,0.00012701500228627004,0.00017782100320077807,0.024884053447912963,2022,11220,서초구,383181,183006,200175,31870,40062,45978,54095,69125,60878,46460,26850,10431,1508,48792,274035,60354,0.1199902917942173,0.141173492422641,0.1803977754638147,0.1588753095795459,0.1212481829735816,0.1012289231459806,0.1575078096252163,0.7151581106578875,0.5224032506830976,2022
20대대통령선거,서울특별시,성동구,20220309,1,252087,197240,195238,2002,84411,103900,123,50.0,47,122,34,65,6486,성동구,대한민국,0.4323492352923099,0.5321709913029226,0.0006300003073172231,0.0002560976859013102,0.00024073182474723158,0.0006248783535991968,0.00017414642641289094,0.00033292699167170324,0.03322099181511796,2022,11040,성동구,282131,136734,145397,19789,18086,46160,45740,41237,44477,38004,19913,9414,1086,26146,209140,46845,0.1636119391346573,0.1621232689778861,0.1461625982256469,0.15764662514931,0.1347033824712633,0.107797441614002,0.1660398892712959,0.7412868490169461,0.515352797104891,2022
20대대통령선거,서울특별시,성북구,20220309,1,375880,292187,289359,2828,142702,135080,169,99.0,89,202,69,87,10862,성북구,대한민국,0.4931659288288942,0.46682494755649556,0.0005840495716393822,0.0003421355478834251,0.0003075764016325741,0.0006980947542671906,0.00023845810913087202,0.00030066457238240386,0.037538144657674376,2022,11080,성북구,436113,207284,228829,29154,37594,75521,58164,64644,67806,56113,32555,15984,1906,42146,318438,75529,0.1731684219456883,0.1333691038790405,0.1482276382497196,0.1554780527065233,0.1286661943120246,0.1156695627050787,0.1731867658152818,0.730173143199125,0.5247011668994045,2022
20대대통령선거,서울특별시,송파구,20220309,1,565840,453536,449510,4026,180490,255232,196,56.0,136,290,69,100,12941,송파구,대한민국,0.40152610620453383,0.5678004938711041,0.00043603034415252165,0.0001245800983292919,0.00030255166737113744,0.0006451469377766902,0.0001535004782985918,0.00022246446130230694,0.028789125937131545,2022,11240,송파구,635758,305954,329804,50507,54225,82564,101969,103174,100135,87863,43305,15509,2266,72299,462646,100813,0.1298670248742446,0.160389645116538,0.1622850204008443,0.1575048996630793,0.1382019573485508,0.0960742924194426,0.1585713431840417,0.7277077126831278,0.5187571371496702,2022
20대대통령선거,서울특별시,양천구,20220309,1,378710,301379,298740,2639,138586,149819,169,75.0,81,213,55,94,9648,양천구,대한민국,0.463901720559684,0.5015029791792194,0.0005657093124456048,0.0002510544286001205,0.00027113878288813017,0.0007129945772243422,0.0001841065809734217,0.00031465488384548436,0.032295641695119504,2022,11150,양천구,426981,208521,218460,30874,46063,51280,52596,72232,73864,60733,30335,11757,1605,49611,306740,70630,0.1200990207995203,0.1231811251554518,0.1691691199374211,0.17299130406271,0.1422381792164054,0.1023394483595288,0.1654171965497294,0.7183926216857425,0.51163869118298,2022
20대대통령선거,서울특별시,영등포구,20220309,1,334361,263581,261079,2502,116443,134880,134,72.0,58,198,39,65,9190,영등포구,대한민국,0.44600676423611246,0.5166252360396661,0.0005132546087582686,0.0002757785957507115,0.00022215497991029536,0.0007583911383144565,0.00014938007269830206,0.0002489667878305034,0.035200073540958866,2022,11190,영등포구,401805,198830,202975,26806,22664,57419,73915,59115,65201,56097,28472,13034,1551,35699,298529,67577,0.1429026517838255,0.1839573922673933,0.1471236047336394,0.1622702554721817,0.1396124986000672,0.1071589452595164,0.168183571633006,0.7429698485583803,0.5051579746394396,2022
20대대통령선거,서울특별시,용산구,20220309,1,199077,152068,150682,1386,60063,85071,67,37.0,56,86,27,46,5229,용산구,대한민국,0.39860766382182344,0.5645730744216296,0.0004446450140029997,0.0002455502316135968,0.000371643593793552,0.0005707383761829548,0.00017918530415046257,0.0003052786663304177,0.03470222057047292,2022,11030,용산구,219282,105469,113813,14715,13455,32658,39446,32765,34817,28488,15072,8139,1116,19807,162608,36867,0.1489315128464716,0.1798870860353335,0.1494194689942631,0.1587772822210669,0.1299149040960954,0.1109393383861876,0.1681259747722111,0.7415474138324167,0.5190257294260359,2022
