election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
21대대통령선거,대전광역시,대덕구,20250603,1,147846,114777,113835,942,55607,47358,10870,대덕구,대한민국,0.488487723459393,0.4160231914613256,0.09548908507928142,2024,25050,대덕구,170471,86416,84055,9431,14085,22376,19954,22523,32527,29122,13870,6727,971,14651,121170,34650,0.1312598623812848,0.1170521672307899,0.1321221791389737,0.1908066474649647,0.1708325756286993,0.1265200532641915,0.2032603785981193,0.7107953845522113,0.493075068486722,2024
21대대통령선거,대전광역시,동구,20250603,1,194244,148238,147013,1225,70915,62048,14050,동구,대한민국,0.48237230721092694,0.42205791324576736,0.0955697795433057,2024,25010,동구,229875,115562,114313,13353,20808,37030,25560,30369,36195,34979,20673,10826,1624,20246,159771,49858,0.1610875475802066,0.1111908646003262,0.132110929853181,0.1574551386623164,0.1521653072321914,0.1440913539967373,0.2168917890157694,0.6950342577487765,0.4972833061446438,2024
21대대통령선거,대전광역시,서구,20250603,1,396043,310477,307893,2584,148720,124865,34308,서구,대한민국,0.48302494697833337,0.4055467321439591,0.11142832087770752,2024,25030,서구,462226,226531,235695,32662,46460,69830,62421,69162,76364,62499,30625,14002,2213,50718,336258,75250,0.151073284497194,0.135044328964619,0.149628104001073,0.165209226655359,0.1352130775854235,0.1013357102369836,0.1627991501992531,0.7274753042883784,0.5099128997503386,2024
21대대통령선거,대전광역시,유성구,20250603,1,307342,251223,249219,2004,123402,93434,32383,유성구,대한민국,0.495154863794494,0.37490721012442874,0.1299379260810773,2024,25040,유성구,384024,196773,187251,34647,40580,63784,59445,59573,59119,43523,17532,8043,1568,50014,288026,45984,0.1660937858050538,0.1547950128116992,0.1551283253130012,0.1539461075349457,0.1133340624544299,0.0706804783034393,0.1197425160927442,0.7500208320313314,0.4876023373539154,2024
21대대통령선거,대전광역시,중구,20250603,1,196407,152894,151648,1246,71677,65844,14127,중구,대한민국,0.47265377716817897,0.4341897024688753,0.09315652036294576,2024,25020,중구,220497,107836,112661,13408,18893,25093,24679,31079,38039,35305,22469,11427,1695,20988,146993,52516,0.1138020018412949,0.1119244252756273,0.1409497634888456,0.1725148187957206,0.1601155571277613,0.1614126269291645,0.2381710408758395,0.6666439906211876,0.5109411919436546,2024
21대대통령선거,부산광역시,강서구,20250603,1,112618,89257,88695,562,40580,40065,8050,강서구,대한민국,0.45752297198263714,0.45171655673938776,0.09076047127797508,2024,21120,강서구,145762,77868,67894,18274,15696,12419,25251,29929,17616,17181,8232,2972,389,25900,99957,19905,0.085200532374693,0.1732344506798754,0.2053278632290995,0.1208545437082367,0.1178702268080844,0.0795337605137141,0.1365582250517967,0.685754860663273,0.4657866933768746,2024
21대대통령선거,부산광역시,금정구,20250603,1,188148,149515,148529,986,55470,79737,13322,금정구,대한민국,0.3734624214799803,0.536844656599048,0.08969292192097167,2024,21110,금정구,215539,104186,111353,9994,16143,32946,21312,26140,34450,39007,24024,11255,1596,15819,143860,55860,0.1528540078593665,0.0988776973076798,0.1212773558381545,0.1598318633750736,0.1809742088438751,0.1710827274878328,0.2591642347788567,0.6674430149532103,0.5166257614631227,2024
21대대통령선거,부산광역시,기장군,20250603,1,145228,112103,111370,733,48742,53493,9135,기장군,대한민국,0.43765825626290744,0.48031785938762683,0.08202388434946574,2024,21510,기장군,173228,86131,87097,16151,18479,14982,21747,32031,26754,23216,14407,6594,988,24637,115160,33431,0.0864871729743459,0.1255397510795021,0.1849065970859214,0.1544438543422541,0.1340199044034451,0.1269367538735077,0.1929884314314083,0.6647886023044773,0.5027882328491929,2024
21대대통령선거,부산광역시,남구,20250603,1,222856,176630,175464,1166,69214,91037,15213,남구,대한민국,0.39446268180367483,0.5188357725801304,0.08670154561619478,2024,21070,남구,260090,127056,133034,15126,23403,38210,27713,36077,41111,40676,26511,11943,1302,23796,176232,60062,0.1469106847629666,0.1065515782998192,0.1387096774193548,0.1580645161290322,0.1563920181475643,0.1528547810373332,0.2309277557768465,0.6775808374024376,0.511492175785305,2024
21대대통령선거,부산광역시,동구,20250603,1,77893,59632,59175,457,22744,31875,4556,동구,대한민국,0.38435149978876215,0.5386565272496832,0.07699197296155472,2024,21030,동구,85665,41301,44364,4096,4394,8834,11251,11005,13528,15525,11026,5663,729,5850,54461,25354,0.1031226288449191,0.1313371855483569,0.1284655343489173,0.1579174692114632,0.1812292067939065,0.2033269129749606,0.2959668476040389,0.6357438860678223,0.5178777797233409,2024
21대대통령선거,부산광역시,동래구,20250603,1,235338,189601,188347,1254,74245,97629,16473,동래구,대한민국,0.39419263380887404,0.5183464562748544,0.08746090991627156,2024,21060,동래구,265089,127425,137664,19997,24320,25339,31264,41519,43228,42593,26268,11553,1507,30549,174052,60488,0.0955867651996122,0.1179377492087563,0.1566228700549626,0.1630697614763343,0.1606743395614303,0.1483577213690496,0.2281799697460098,0.6565794883982361,0.5193123818792934,2024
21대대통령선거,부산광역시,부산진구,20250603,1,325663,252934,250993,1941,101093,126802,23098,부산진구,대한민국,0.40277218886582494,0.505201340276422,0.092026470857753,2024,21050,부산진구,356874,170261,186613,20651,24316,49804,50800,47519,54819,58249,34979,16096,1884,29922,245482,81470,0.1395562579509855,0.1423471589412509,0.1331534379080572,0.153608836732292,0.1632200720702545,0.1483969131962541,0.2282878550973172,0.6878674265987436,0.5229100466831431,2024
21대대통령선거,부산광역시,북구,20250603,1,234995,187682,186390,1292,77258,93564,15568,북구,대한민국,0.4144964858629755,0.5019797199420569,0.08352379419496754,2024,21080,북구,265364,130024,135340,16428,19991,27707,31841,34845,46872,51496,25863,10799,1440,24540,178800,62024,0.1044112991965752,0.1199899006647473,0.1313102003286052,0.1766328514794772,0.1940579731990775,0.1435839073875883,0.2337317797440496,0.6737914713374836,0.5100164302618291,2024
21대대통령선거,부산광역시,사상구,20250603,1,178351,138035,137026,1009,56307,69496,11223,사상구,대한민국,0.4109220148001109,0.5071738210266665,0.0819041641732226,2024,21150,사상구,205140,102439,102701,9761,14358,27344,24935,25559,34901,40011,20630,7835,983,15055,141916,48169,0.1332943355757044,0.1215511358096909,0.1245929609047479,0.1701325923759384,0.1950424100614214,0.1435507458321146,0.2348103734035293,0.6918007214585161,0.5006385882811738,2024
21대대통령선거,부산광역시,사하구,20250603,1,258595,199077,197699,1378,82504,99642,15553,사하구,대한민국,0.4173212813418378,0.5040086191634758,0.07867009949468637,2024,21100,사하구,293036,145582,147454,16083,23174,33087,32545,40568,49887,54147,31101,12750,1728,25157,195996,71883,0.1129110416467601,0.1110614395500894,0.1384403281508074,0.1702418815435646,0.1847793445173972,0.1555406161700269,0.2453043312084522,0.6688461485960769,0.5031941467942506,2024
21대대통령선거,부산광역시,서구,20250603,1,92886,71591,71032,559,26800,38496,5736,서구,대한민국,0.37729474039869354,0.5419529226264219,0.08075233697488456,2024,21020,서구,103413,49701,53712,5046,7152,12719,10743,12987,16330,18977,12907,6353,806,7751,66115,29547,0.1229922736986645,0.1038844245887847,0.1255838240840126,0.1579105141519925,0.1835069091893669,0.1940375001208745,0.2857184299846247,0.6393296780868943,0.5193931130515506,2024
21대대통령선거,부산광역시,수영구,20250603,1,153669,119331,118427,904,44558,63669,10200,수영구,대한민국,0.3762486595117667,0.5376223327450665,0.08612900774316667,2024,21140,수영구,167787,78338,89449,9119,10555,20201,22816,22641,25984,28164,19250,8836,1242,13426,110597,43764,0.1203966934267851,0.135981929470102,0.1349389404423465,0.1548630108411259,0.1678556741583078,0.1747930411772068,0.2608306960610774,0.6591511857295261,0.5331104316782588,2024
21대대통령선거,부산광역시,연제구,20250603,1,184908,148025,146999,1026,58466,75594,12939,연제구,대한민국,0.397730596806781,0.5142483962475936,0.08802100694562548,2024,21130,연제구,207871,98780,109091,14596,16263,21773,27324,30859,33569,33744,21003,9320,1110,21315,138488,48068,0.1047428453223393,0.131446906975961,0.1484526461122523,0.1614895776707669,0.1623314459448407,0.1512139740512144,0.2312395668467463,0.6662208773710618,0.5248014393542149,2024
21대대통령선거,부산광역시,영도구,20250603,1,93909,70342,69863,479,29962,35217,4684,영도구,대한민국,0.42886792722900535,0.5040865694287391,0.06704550334225556,2024,21040,영도구,106825,53482,53343,4448,7248,12197,9803,12864,16982,21059,14894,7103,781,6976,66165,33684,0.114177392932366,0.0917669084952024,0.1204212497074654,0.1589702784928621,0.1971355019892347,0.2132272408144161,0.315319447694828,0.6193774865434121,0.4993494032295811,2024
21대대통령선거,부산광역시,중구,20250603,1,35284,26223,26022,201,9784,14167,2071,중구,대한민국,0.3759895473061256,0.5444239489662593,0.0795865037276151,2024,21010,중구,39599,19497,20102,878,1682,5844,4980,4452,6136,7519,5238,2599,383,1452,25982,12165,0.1475794843304123,0.1257607515341296,0.1124270814919568,0.1549534079143412,0.1898785322861688,0.2075809995201899,0.3072047273921058,0.656127679991919,0.5076390817949948,2024
21대대통령선거,부산광역시,해운대구,20250603,1,325211,255777,254181,1596,97486,135755,20940,해운대구,대한민국,0.38352984684142405,0.5340879137307667,0.08238223942780931,2024,21090,해운대구,365974,175606,190368,24469,33087,35491,40205,55915,65925,61843,34596,15614,1973,38340,245825,81809,0.0969768344199314,0.1098575308628481,0.1527840775574221,0.1801357473481722,0.1689819495373988,0.1425866318372343,0.2235377376534945,0.6717007219092067,0.5201680993731795,2024
21대대통령선거,서울특별시,강남구,20250603,1,472730,373762,371406,2356,119722,210177,41507,강남구,대한민국,0.3223480503815232,0.5658955428829906,0.11175640673548623,2024,11230,강남구,528194,252802,275392,35934,57701,60203,77499,95739,85099,63339,40184,15436,2182,60476,379138,88580,0.1139789547022495,0.1467244989530362,0.1812572653229684,0.1611131516071746,0.1199161671658519,0.1094332764098039,0.1677035331715241,0.7178006565769396,0.5213841883853281,2024
