sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_진보당,party_정의당,party_통일한국당,party_우리공화당,party_한국복지당,party_충청의미래당
20220601,9,8회지방선거_기초의원비례,대전광역시,대덕구,대덕구,152766,76122,74383,1739,33890,40493.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,울산광역시,중구,중구,181055,98376,96253,2123,35479,60774.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,울산광역시,동구,동구,127369,70820,69354,1466,23218,35010.0,11126.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,울산광역시,북구,북구,175784,88507,86582,1925,41004,45578.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,울산광역시,울주군,울주군,189051,99370,96646,2724,36642,60004.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,수원시장안구,수원시,199204,106066,103673,2393,47978,50388.0,815.0,4492.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,수원시권선구,수원시,352407,173770,169935,3835,79769,81260.0,1523.0,7383.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,수원시팔달구,수원시,164086,79242,77169,2073,33856,39459.0,433.0,3421.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,수원시영통구,수원시,296856,160482,158204,2278,71563,77331.0,645.0,8665.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,성남시수정구,성남시,208907,106894,104582,2312,50172,50425.0,0.0,3985.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,성남시중원구,성남시,185468,94462,92305,2157,46309,42447.0,0.0,3549.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,성남시분당구,성남시,404133,250551,246798,3753,93353,143236.0,0.0,10209.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,의정부시,의정부시,400177,187842,183414,4428,90611,92803.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,안양시만안구,안양시,208936,111004,108319,2685,53476,54843.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,안양시동안구,안양시,265101,155813,152708,3105,74830,77878.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,부천시,부천시,702974,347411,340458,6953,168109,156068.0,0.0,16281.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,광명시,광명시,247233,139566,136412,3154,70550,65862.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,양주시,양주시,197751,95151,92170,2981,43872,48298.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,동두천시,동두천시,81074,39738,38487,1251,17318,21169.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,안산시상록구,안산시,305390,138911,135597,3314,70984,64613.0,0.0,0.0,0.0,0.0,0.0,0.0
