sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_정의당,party_기본소득당,party_무소속,party_진보당,party_통일한국당,party_녹색당
20220601,3,8회지방선거_시도지사,인천광역시,부평구,인천광역시,426463,202623,200344,2279,94474,99177,5740.0,953.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,인천광역시,계양구,인천광역시,258156,144721,143098,1623,72090,66117,4158.0,733.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,인천광역시,서구,인천광역시,472254,218379,215902,2477,101408,107661,5832.0,1001.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,인천광역시,강화군,인천광역시,63147,39088,37803,1285,11660,24697,1002.0,444.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,인천광역시,옹진군,인천광역시,18895,12693,12171,522,3756,7950,295.0,170.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,광주광역시,동구,광주광역시,90255,38373,37733,640,27775,6994,1468.0,299.0,0.0,1197.0,0.0,0.0
20220601,3,8회지방선거_시도지사,광주광역시,서구,광주광역시,246841,97941,96340,1601,71873,15552,4728.0,645.0,0.0,3542.0,0.0,0.0
20220601,3,8회지방선거_시도지사,광주광역시,남구,광주광역시,180158,71496,70323,1173,53512,11406,2808.0,459.0,0.0,2138.0,0.0,0.0
20220601,3,8회지방선거_시도지사,광주광역시,북구,광주광역시,363222,137865,135603,2262,102468,21054,6213.0,1037.0,0.0,4831.0,0.0,0.0
20220601,3,8회지방선거_시도지사,광주광역시,광산구,광주광역시,326410,108841,106771,2070,79071,16056,5853.0,904.0,0.0,4887.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대전광역시,동구,대전광역시,191882,94041,92739,1302,42619,50120,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대전광역시,중구,대전광역시,199894,100343,99100,1243,45434,53666,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대전광역시,서구,대전광역시,399035,192546,190371,2175,93222,97149,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대전광역시,유성구,대전광역시,289980,149576,148251,1325,78142,70109,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,대전광역시,대덕구,대전광역시,152766,76133,75129,1004,36138,38991,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,울산광역시,중구,울산광역시,181055,98391,97326,1065,36596,60730,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,울산광역시,남구,울산광역시,267930,134765,133412,1353,48425,84987,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,울산광역시,동구,울산광역시,127369,70833,69783,1050,32032,37751,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,울산광역시,북구,울산광역시,175784,88502,87482,1020,41248,46234,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,울산광역시,울주군,울산광역시,189051,99375,97990,1385,37129,60861,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,세종특별자치시,세종특별자치시,세종특별자치시,292259,149751,148410,1341,69995,78415,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,수원시장안구,경기도,199204,106092,105058,1034,53333,49817,627.0,153.0,869.0,259.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,수원시권선구,경기도,352407,173856,172254,1602,88562,80304,1090.0,312.0,1580.0,406.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,수원시팔달구,경기도,164086,79283,78425,858,37937,38931,488.0,169.0,724.0,176.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,수원시영통구,경기도,296856,160556,159517,1039,81109,75184,1142.0,212.0,1647.0,223.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,성남시수정구,경기도,208907,106922,105690,1232,53684,49669,630.0,250.0,964.0,493.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,성남시중원구,경기도,185468,94477,93359,1118,49268,41860,623.0,212.0,820.0,576.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,성남시분당구,경기도,404133,250683,249281,1402,104254,140622,1266.0,197.0,2677.0,265.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,의정부시,경기도,400177,187916,186022,1894,92465,89731,1241.0,259.0,1742.0,584.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,안양시만안구,경기도,208936,111050,109873,1177,54630,53271,712.0,157.0,904.0,199.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,안양시동안구,경기도,265101,155858,154681,1177,77230,74669,1001.0,163.0,1432.0,186.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,부천시,경기도,702974,347502,344003,3499,182163,154942,2733.0,626.0,2826.0,713.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,광명시,경기도,247233,139612,138213,1399,72415,63270,893.0,249.0,1108.0,278.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,평택시,경기도,478356,208218,205833,2385,96908,104256,1329.0,393.0,2231.0,716.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,양주시,경기도,197751,95175,94023,1152,45206,46797,598.0,158.0,920.0,344.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,동두천시,경기도,81074,39750,39100,650,17338,20853,220.0,98.0,394.0,197.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,안산시상록구,경기도,305390,138968,137499,1469,72030,62496,963.0,296.0,1289.0,425.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,안산시단원구,경기도,266229,121621,120283,1338,61954,55679,865.0,261.0,1090.0,434.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,고양시덕양구,경기도,461775,241090,238957,2133,121343,111350,2948.0,347.0,2055.0,914.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,고양시일산동구,경기도,229024,117269,116394,875,55015,58884,756.0,148.0,1365.0,226.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,고양시일산서구,경기도,233891,125052,124040,1012,61038,60788,755.0,139.0,1148.0,172.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,과천시,경기도,65220,42668,42333,335,18126,23042,539.0,47.0,530.0,49.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,의왕시,경기도,138928,80575,79812,763,39383,38873,547.0,137.0,741.0,131.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,구리시,경기도,164045,88191,87252,939,42564,43098,527.0,118.0,764.0,181.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,남양주시,경기도,610260,299336,296216,3120,147630,143096,1826.0,418.0,2715.0,531.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,오산시,경기도,190375,83231,82300,931,42038,38577,571.0,138.0,782.0,194.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,화성시,경기도,711229,336743,333910,2833,173747,153636,2028.0,550.0,3167.0,782.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,시흥시,경기도,431352,195139,193320,1819,104762,84897,1348.0,301.0,1590.0,422.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,군포시,경기도,231192,128263,127098,1165,65647,58979,866.0,187.0,1191.0,228.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,하남시,경기도,266856,139747,138595,1152,66362,69943,695.0,148.0,1232.0,215.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,파주시,경기도,403729,187129,184950,2179,93171,87769,1378.0,324.0,1801.0,507.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,여주시,경기도,98333,50666,49746,920,18598,30015,330.0,111.0,519.0,173.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,이천시,경기도,188563,88738,87349,1389,37422,47937,540.0,194.0,942.0,314.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,용인시처인구,경기도,222743,105135,103859,1276,47234,54483,632.0,188.0,1014.0,308.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,용인시수지구,경기도,231983,135909,135158,751,61235,71578,654.0,100.0,1477.0,114.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,용인시기흥구,경기도,434819,241266,239642,1624,118199,117246,1295.0,238.0,2342.0,322.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,안성시,경기도,163518,81764,80568,1196,36515,42168,657.0,131.0,826.0,271.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,김포시,경기도,392604,195865,194236,1629,92596,98054,1136.0,265.0,1802.0,383.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,광주시,경기도,329651,152145,150797,1348,72344,75812,755.0,168.0,1310.0,408.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,포천시,경기도,131980,67777,66328,1449,27683,36951,444.0,238.0,765.0,247.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,연천군,경기도,37898,22800,22189,611,8541,12886,155.0,148.0,367.0,92.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,양평군,경기도,107165,63429,62401,1028,24692,36357,475.0,108.0,634.0,135.0,0.0,0.0
20220601,3,8회지방선거_시도지사,경기도,가평군,경기도,55791,33165,32245,920,11222,19910,247.0,258.0,462.0,146.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,춘천시,강원도,244406,137765,135840,1925,63714,72126,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,원주시,강원도,304060,157538,155139,2399,77841,77298,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,강릉시,강원도,185804,101944,100338,1606,42113,58225,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,동해시,강원도,76886,42047,41230,817,17499,23731,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,삼척시,강원도,57023,37549,36626,923,15807,20819,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,태백시,강원도,35236,22538,22010,528,10288,11722,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,정선군,강원도,32001,22082,21337,745,10570,10767,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,속초시,강원도,71621,37094,36390,704,16266,20124,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,고성군,강원도,24776,16776,16188,588,7164,9024,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,양양군,강원도,25359,16671,16194,477,6749,9445,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,인제군,강원도,27939,18540,17833,707,8612,9221,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,홍천군,강원도,60743,36940,36202,738,15698,20504,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,횡성군,강원도,41777,27750,27162,588,11750,15412,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,영월군,강원도,34371,22806,22311,495,10182,12129,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,평창군,강원도,37372,25363,24968,395,12618,12350,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,화천군,강원도,21055,13837,13407,430,5926,7481,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,양구군,강원도,18552,12804,12448,356,5658,6790,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,강원도,철원군,강원도,37099,22454,21604,850,9311,12293,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,충청북도,청주시상당구,충청북도,163058,79612,78608,1004,33296,45312,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,충청북도,청주시서원구,충청북도,165453,80317,79345,972,33934,45411,0.0,0.0,0.0,0.0,0.0,0.0
20220601,3,8회지방선거_시도지사,충청북도,청주시흥덕구,충청북도,223618,98308,97114,1194,42745,54369,0.0,0.0,0.0,0.0,0.0,0.0
