sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_무소속,party_진보당,party_민생당,party_노동당,party_한국당,party_정의당,party_남북통일당,party_우리공화당,party_녹색당
20220601,5,8회지방선거_광역의원지역구,서울특별시,은평구,은평구제1선거구,106713,54472,53436,1036,26775.0,26661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,은평구,은평구제2선거구,108561,56276,54946,1330,28773.0,26173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,은평구,은평구제3선거구,90277,48549,47675,874,23068.0,22394.0,2213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,은평구,은평구제4선거구,112836,56636,55253,1383,28909.0,26344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,서대문구,서대문구제1선거구,65905,34555,33612,943,15849.0,17763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,서대문구,서대문구제2선거구,65228,35844,35070,774,17015.0,18055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,서대문구,서대문구제3선거구,59737,32136,31130,1006,15721.0,15409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,서대문구,서대문구제4선거구,80848,44408,43284,1124,21543.0,21741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,마포구,마포구제1선거구,72995,40596,39915,681,16658.0,23257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,마포구,마포구제2선거구,64729,35449,34665,784,16944.0,17721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,마포구,마포구제3선거구,79262,40743,39824,919,20090.0,19734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,마포구,마포구제4선거구,107542,58195,56831,1364,30236.0,26595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,양천구,양천구제1선거구,99495,55617,54831,786,24260.0,30571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,양천구,양천구제2선거구,99482,59575,58903,672,22599.0,36304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,양천구,양천구제3선거구,77953,39366,38721,645,19549.0,19172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,양천구,양천구제4선거구,101514,55100,54244,856,25869.0,27171.0,1204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,강서구,강서구제1선거구,86007,39020,38057,963,20282.0,17775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,강서구,강서구제2선거구,83668,46364,45553,811,21770.0,23783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,강서구,강서구제3선거구,82462,42970,42082,888,19834.0,22248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,강서구,강서구제4선거구,92211,50016,48749,1267,22856.0,25893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,강서구,강서구제5선거구,70602,39130,38216,914,18283.0,19933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,강서구,강서구제6선거구,89656,43388,42433,955,20930.0,21503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,구로구,구로구제1선거구,118401,64674,63101,1573,30059.0,33042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,구로구,구로구제2선거구,86303,47334,46179,1155,23309.0,22870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,구로구,구로구제3선거구,98521,52529,51276,1253,25096.0,26180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,구로구,구로구제4선거구,50472,23521,22915,606,11738.0,11177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,금천구,금천구제1선거구,119258,55951,54668,1283,27715.0,26053.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,금천구,금천구제2선거구,93621,49873,48691,1182,24834.0,23857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,영등포구,영등포구제1선거구,78250,42610,41972,638,19694.0,22278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,영등포구,영등포구제2선거구,115494,60412,59465,947,27540.0,31925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,영등포구,영등포구제3선거구,81575,45499,44939,560,17142.0,27797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,영등포구,영등포구제4선거구,64698,32554,31934,620,15731.0,16203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,동작구,동작구제1선거구,88872,46874,46163,711,21225.0,24938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,동작구,동작구제2선거구,94596,51410,50557,853,24246.0,26311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,동작구,동작구제3선거구,86555,47983,47323,660,21832.0,25491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,동작구,동작구제4선거구,74257,41087,40406,681,17349.0,23057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,관악구,관악구제1선거구,122266,58926,57309,1617,30603.0,25175.0,1531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,관악구,관악구제2선거구,121932,65342,63709,1633,32692.0,31017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,관악구,관악구제3선거구,103698,51635,50138,1497,25682.0,24456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,관악구,관악구제4선거구,102284,50850,49585,1265,26224.0,23361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,5,8회지방선거_광역의원지역구,서울특별시,서초구,서초구제1선거구,83558,45957,45111,846,10935.0,34176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
