sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_미래통합당,party_우리공화당,party_민중당,party_가자!평화인권당,party_공화당,party_국가혁명배당금당,party_국민새정당,party_민중민주당,party_한나라당,party_무소속,party_정의당,party_민생당,party_미래당,party_한국복지당,party_기본소득당,party_통일민주당,party_친박신당,party_새누리당,party_기독자유통일당,party_노동당,party_충청의미래당
20200415,2,21대국회의원선거_지역구,서울특별시,강서구,강서구을,176017,120281,118757,1524,66684,50281.0,1087.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,강서구,강서구병,161351,108962,107663,1299,64515,39355.0,0.0,1575.0,0.0,0.0,559.0,0.0,0.0,0.0,1659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,구로구,구로구갑,205756,142081,140677,1404,75865,55347.0,576.0,1539.0,0.0,0.0,628.0,0.0,0.0,0.0,0.0,6722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,구로구,구로구을,146644,99398,98279,1119,56065,37018.0,0.0,0.0,0.0,0.0,638.0,0.0,0.0,0.0,4558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,금천구,금천구,207730,132177,130435,1742,64735,46278.0,0.0,0.0,0.0,0.0,1057.0,0.0,0.0,0.0,18365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,영등포구,영등포구갑,187997,130099,128764,1335,72445,49292.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,6267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,영등포구,영등포구을,139384,94810,93657,1153,47075,41537.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,3311.0,0.0,1278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,동작구,동작구갑,185301,128611,127122,1489,70290,54526.0,0.0,1494.0,0.0,0.0,812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,동작구,동작구을,162038,119000,117726,1274,61407,53026.0,0.0,614.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,2334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200415,2,21대국회의원선거_지역구,서울특별시,관악구,관악구갑,243127,161860,149259,12601,83479,0.0,3477.0,2223.0,0.0,0.0,947.0,0.0,0.0,0.0,50078.0,6306.0,2749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
