sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_새로운미래,party_개혁신당,party_가락특권폐지당,party_대한국민당,party_민중민주당,party_한국국민당,party_무소속,party_녹색정의당,party_기후민생당,party_진보당,party_내일로미래로,party_자유통일당,party_새진보연합,party_우리공화당,party_자유민주당,party_소나무당,party_기독당,party_노동당,party_한국농어민당
20240410,2,22대국회의원선거_지역구,서울특별시,강동구,강동구을,198766,134883,133280,1603,71376.0,59551,0.0,2353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,중구,중구영도구,36324,22844,22511,333,8938.0,13223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,영도구,중구영도구,96542,62651,61856,795,27801.0,33031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,서구,서구동구,93208,61768,60733,1035,24911.0,35822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,동구,서구동구,79642,52013,51217,796,22155.0,29062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,부산진구,부산진구갑,160658,107785,106373,1412,50220.0,56153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,부산진구,부산진구을,161857,101969,100336,1633,44286.0,53897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,동래구,동래구,230465,159032,157212,1820,67941.0,85313,0.0,3958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,남구,남구,223869,157215,155431,1784,70868.0,84563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,북구,북구갑,121889,84012,83234,778,43548.0,38850,0.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,북구,북구을,117612,86348,85385,963,40499.0,44886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,해운대구,해운대구갑,185494,128242,127123,1119,56717.0,68267,0.0,0.0,0.0,0.0,0.0,0.0,2139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,해운대구,해운대구을,141382,94326,93151,1175,38811.0,54340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,사하구,사하구갑,131310,88121,87125,996,43216.0,43909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,사하구,사하구을,130588,85087,84234,853,35735.0,46855,0.0,0.0,0.0,0.0,0.0,0.0,1644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,금정구,금정구,192113,131316,129337,1979,56100.0,73237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,강서구,강서구,111554,76301,75753,548,33645.0,42108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,연제구,연제구,184060,127760,125695,2065,0.0,68402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,수영구,수영구,155728,103071,101508,1563,41088.0,51092,0.0,0.0,0.0,0.0,0.0,0.0,9328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,사상구,사상구,181823,121292,119634,1658,56659.0,62975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,부산광역시,기장군,기장군,146425,95134,94100,1034,44852.0,49248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,대구광역시,중구,중구남구,78458,49577,48629,948,14401.0,26979,0.0,0.0,0.0,0.0,0.0,0.0,7249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,대구광역시,남구,중구남구,126181,77546,76342,1204,18382.0,45401,0.0,0.0,0.0,0.0,0.0,0.0,12559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,대구광역시,동구,동구군위군갑,145881,93619,92047,1572,23484.0,68563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,대구광역시,동구,동구군위군을,153418,96183,93098,3085,0.0,69043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19833.0,0.0,4222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20240410,2,22대국회의원선거_지역구,대구광역시,군위군,동구군위군을,21566,16109,15732,377,0.0,13812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.0,0.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
