sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_개혁신당,party_민주노동당,party_무소속
20250603,1,21대대통령선거,강원특별자치도,정선군,대한민국,30577,24019,23839,180,10241,12195,1219,155,29
20250603,1,21대대통령선거,강원특별자치도,속초시,대한민국,70334,52747,52418,329,23389,24910,3598,470,51
20250603,1,21대대통령선거,강원특별자치도,고성군,대한민국,24393,19289,19127,162,7890,9835,1237,143,22
20250603,1,21대대통령선거,강원특별자치도,양양군,대한민국,24980,19670,19534,136,8061,10304,1017,140,12
20250603,1,21대대통령선거,강원특별자치도,인제군,대한민국,27383,21666,21429,237,9136,10099,1964,185,45
20250603,1,21대대통령선거,강원특별자치도,홍천군,대한민국,59907,46624,46206,418,19301,23549,2962,335,59
20250603,1,21대대통령선거,강원특별자치도,횡성군,대한민국,41725,32863,32597,266,13347,17208,1769,237,36
20250603,1,21대대통령선거,강원특별자치도,영월군,대한민국,33250,26302,26108,194,11089,13400,1395,187,37
20250603,1,21대대통령선거,강원특별자치도,평창군,대한민국,36753,28718,28510,208,11594,14937,1728,224,27
20250603,1,21대대통령선거,강원특별자치도,화천군,대한민국,20014,15736,15579,157,6260,7734,1401,157,27
20250603,1,21대대통령선거,강원특별자치도,양구군,대한민국,17713,13999,13865,134,5706,6778,1240,119,22
20250603,1,21대대통령선거,강원특별자치도,철원군,대한민국,35356,27047,26794,253,11189,13232,2128,205,40
20250603,1,21대대통령선거,충청북도,청주시상당구,대한민국,167297,130134,129216,918,63093,53983,10648,1360,132
20250603,1,21대대통령선거,충청북도,청주시서원구,대한민국,158412,123534,122623,911,58100,51715,11315,1363,130
20250603,1,21대대통령선거,충청북도,청주시흥덕구,대한민국,242536,186815,185321,1494,91724,72187,19240,1959,211
20250603,1,21대대통령선거,충청북도,청주시청원구,대한민국,158716,122262,121361,901,61240,47301,11453,1223,144
20250603,1,21대대통령선거,충청북도,충주시,대한민국,181665,140253,139272,981,64128,62940,10909,1158,137
20250603,1,21대대통령선거,충청북도,제천시,대한민국,113975,88820,88131,689,39127,42170,5997,734,103
20250603,1,21대대통령선거,충청북도,단양군,대한민국,25010,19901,19744,157,7645,10874,1080,123,22
20250603,1,21대대통령선거,충청북도,영동군,대한민국,39554,30824,30561,263,12321,16217,1730,261,32
20250603,1,21대대통령선거,충청북도,보은군,대한민국,27900,22071,21882,189,9194,11344,1124,186,34
20250603,1,21대대통령선거,충청북도,옥천군,대한민국,43863,34403,34098,305,15013,16673,2045,310,57
20250603,1,21대대통령선거,충청북도,음성군,대한민국,81862,60942,60461,481,29604,26136,4132,514,75
20250603,1,21대대통령선거,충청북도,진천군,대한민국,72896,54924,54515,409,28558,21155,4205,516,81
20250603,1,21대대통령선거,충청북도,괴산군,대한민국,33528,26680,26459,221,10858,14080,1252,240,29
20250603,1,21대대통령선거,충청북도,증평군,대한민국,31928,23995,23792,203,11385,10290,1854,222,41
20250603,1,21대대통령선거,충청남도,천안시서북구,대한민국,335343,253456,251489,1967,126874,95629,26081,2651,254
20250603,1,21대대통령선거,충청남도,천안시동남구,대한민국,225516,171143,169929,1214,82181,71043,14806,1703,196
20250603,1,21대대통령선거,충청남도,공주시,대한민국,91037,70133,69563,570,31344,32935,4688,510,86
20250603,1,21대대통령선거,충청남도,보령시,대한민국,82897,63959,63443,516,27091,31871,3942,465,74
20250603,1,21대대통령선거,충청남도,아산시,대한민국,294314,223210,221584,1626,113159,85540,20368,2330,187
20250603,1,21대대통령선거,충청남도,서산시,대한민국,148454,111724,110863,861,53345,47476,8859,1046,137
20250603,1,21대대통령선거,충청남도,태안군,대한민국,54627,41577,41252,325,17816,20762,2318,310,46
20250603,1,21대대통령선거,충청남도,금산군,대한민국,44528,33981,33716,265,15073,16504,1867,227,45
20250603,1,21대대통령선거,충청남도,논산시,대한민국,95971,72078,71523,555,34802,31519,4517,599,86
20250603,1,21대대통령선거,충청남도,계룡시,대한민국,37839,31069,30836,233,14410,13332,2810,258,26
20250603,1,21대대통령선거,충청남도,당진시,대한민국,146196,109473,108739,734,54989,45028,7605,994,123
20250603,1,21대대통령선거,충청남도,부여군,대한민국,54218,41724,41382,342,17181,21621,2246,300,34
20250603,1,21대대통령선거,충청남도,서천군,대한민국,44051,33500,33225,275,15339,15893,1701,238,54
20250603,1,21대대통령선거,충청남도,홍성군,대한민국,86128,65728,65217,511,29489,30273,4675,699,81
20250603,1,21대대통령선거,충청남도,청양군,대한민국,27165,20925,20737,188,8088,11213,1254,150,32
20250603,1,21대대통령선거,충청남도,예산군,대한민국,71055,53841,53430,411,20135,29469,3355,413,58
20250603,1,21대대통령선거,전북특별자치도,전주시완산구,대한민국,277170,229260,227937,1323,185225,25513,14887,2035,277
20250603,1,21대대통령선거,전북특별자치도,전주시덕진구,대한민국,261733,218707,217413,1294,176031,23805,15268,2091,218
20250603,1,21대대통령선거,전북특별자치도,군산시,대한민국,221550,178956,177949,1007,145384,21599,9493,1292,181
20250603,1,21대대통령선거,전북특별자치도,익산시,대한민국,234688,191022,189723,1299,156006,21426,10657,1414,220
20250603,1,21대대통령선거,전북특별자치도,정읍시,대한민국,90401,74050,73509,541,63097,6624,3133,531,124
20250603,1,21대대통령선거,전북특별자치도,남원시,대한민국,66857,55525,55078,447,47213,5125,2193,447,100
20250603,1,21대대통령선거,전북특별자치도,김제시,대한민국,73203,60124,59708,416,50871,5885,2454,387,111
20250603,1,21대대통령선거,전북특별자치도,완주군,대한민국,86947,72595,72070,525,59889,7592,3783,701,105
20250603,1,21대대통령선거,전북특별자치도,진안군,대한민국,22236,18770,18641,129,15601,2107,742,146,45
20250603,1,21대대통령선거,전북특별자치도,무주군,대한민국,20899,17383,17238,145,13395,2876,785,135,47
20250603,1,21대대통령선거,전북특별자치도,장수군,대한민국,18588,15605,15489,116,13085,1661,567,138,38
20250603,1,21대대통령선거,전북특별자치도,임실군,대한민국,23342,19553,19397,156,16678,1849,686,138,46
20250603,1,21대대통령선거,전북특별자치도,순창군,대한민국,24184,20930,20748,182,17922,1884,750,157,35
20250603,1,21대대통령선거,전북특별자치도,고창군,대한민국,45723,38187,37883,304,32692,3515,1324,246,106
20250603,1,21대대통령선거,전북특별자치도,부안군,대한민국,43387,35432,35226,206,30183,3535,1239,203,66
20250603,1,21대대통령선거,전라남도,목포시,대한민국,177671,144796,143999,797,125013,11226,6461,1146,153
20250603,1,21대대통령선거,전라남도,여수시,대한민국,231349,191764,190670,1094,162538,16736,9896,1286,214
20250603,1,21대대통령선거,전라남도,순천시,대한민국,234321,197762,196665,1097,165671,17828,11461,1486,219
20250603,1,21대대통령선거,전라남도,나주시,대한민국,99973,84341,83760,581,71784,6806,4371,676,123
20250603,1,21대대통령선거,전라남도,광양시,대한민국,131128,108351,107766,585,86658,12945,7220,825,118
20250603,1,21대대통령선거,전라남도,담양군,대한민국,40385,34045,33867,178,29833,2456,1276,224,78
20250603,1,21대대통령선거,전라남도,장성군,대한민국,38328,32243,32046,197,27774,2678,1326,220,48
20250603,1,21대대통령선거,전라남도,곡성군,대한민국,24642,20660,20458,202,17677,1806,724,195,56
20250603,1,21대대통령선거,전라남도,구례군,대한민국,21975,18821,18687,134,16019,1879,627,130,32
20250603,1,21대대통령선거,전라남도,고흥군,대한민국,55564,46747,46370,377,40708,3968,1304,266,124
20250603,1,21대대통령선거,전라남도,보성군,대한민국,34072,28551,28332,219,24790,2415,864,198,65
20250603,1,21대대통령선거,전라남도,화순군,대한민국,54306,45541,45222,319,39811,3159,1842,334,76
20250603,1,21대대통령선거,전라남도,장흥군,대한민국,31153,26253,26058,195,22956,2021,819,182,80
20250603,1,21대대통령선거,전라남도,강진군,대한민국,28924,24388,24172,216,20809,2278,849,182,54
20250603,1,21대대통령선거,전라남도,완도군,대한민국,40521,34654,34356,298,30888,2152,1058,172,86
20250603,1,21대대통령선거,전라남도,해남군,대한민국,56611,48054,47670,384,42205,3496,1576,294,99
20250603,1,21대대통령선거,전라남도,진도군,대한민국,25634,21675,21475,200,18814,1702,780,122,57
20250603,1,21대대통령선거,전라남도,영암군,대한민국,45634,37337,37067,270,32195,3006,1466,330,70
20250603,1,21대대통령선거,전라남도,무안군,대한민국,77728,65905,65457,448,56222,5103,3479,551,102
20250603,1,21대대통령선거,전라남도,영광군,대한민국,46202,38202,37940,262,32618,3172,1823,216,111
20250603,1,21대대통령선거,전라남도,함평군,대한민국,27478,23234,23020,214,20528,1584,713,125,70
20250603,1,21대대통령선거,전라남도,신안군,대한민국,35832,30041,29786,255,26430,2208,887,192,69
20250603,1,21대대통령선거,경상북도,포항시북구,대한민국,233819,187038,185892,1146,49724,120983,13386,1646,153
20250603,1,21대대통령선거,경상북도,포항시남구,대한민국,189163,147128,146096,1032,39332,94527,10809,1290,138
20250603,1,21대대통령선거,경상북도,울릉군,대한민국,8412,6716,6654,62,1814,4351,454,30,5
20250603,1,21대대통령선거,경상북도,경주시,대한민국,217320,172873,171689,1184,45754,112844,10753,2182,156
20250603,1,21대대통령선거,경상북도,김천시,대한민국,117773,93605,92954,651,23343,62634,6209,672,96
20250603,1,21대대통령선거,경상북도,안동시,대한민국,136331,108216,107288,928,33560,65739,7050,841,98
20250603,1,21대대통령선거,경상북도,구미시,대한민국,338629,259989,258015,1974,72584,160141,22956,2039,295
20250603,1,21대대통령선거,경상북도,영주시,대한민국,86901,68942,68356,586,18860,45015,3953,458,70
20250603,1,21대대통령선거,경상북도,영천시,대한민국,87894,69766,69246,520,14223,51359,3209,387,68
20250603,1,21대대통령선거,경상북도,상주시,대한민국,81951,65682,65108,574,14270,46856,3496,411,75
20250603,1,21대대통령선거,경상북도,문경시,대한민국,59787,47655,47235,420,10266,34287,2337,297,48
20250603,1,21대대통령선거,경상북도,예천군,대한민국,46657,38177,37759,418,10039,25065,2336,272,47
20250603,1,21대대통령선거,경상북도,경산시,대한민국,232652,182130,180802,1328,44160,120563,14420,1472,187
20250603,1,21대대통령선거,경상북도,청도군,대한민국,37770,30244,29999,245,6045,22480,1273,164,37
20250603,1,21대대통령선거,경상북도,고령군,대한민국,27768,22163,21959,204,4130,16684,990,126,29
20250603,1,21대대통령선거,경상북도,성주군,대한민국,38236,31647,31387,260,5989,23775,1416,170,37
20250603,1,21대대통령선거,경상북도,칠곡군,대한민국,92234,69654,69155,499,18246,45689,4605,518,97
20250603,1,21대대통령선거,경상북도,의성군,대한민국,45733,37276,36951,325,6725,28522,1442,220,42
20250603,1,21대대통령선거,경상북도,청송군,대한민국,22070,18250,18078,172,3789,13348,797,125,19
20250603,1,21대대통령선거,경상북도,영양군,대한민국,14161,11615,11518,97,2848,8104,484,72,10
20250603,1,21대대통령선거,경상북도,영덕군,대한민국,30579,24558,24336,222,4407,18780,972,155,22
20250603,1,21대대통령선거,경상북도,봉화군,대한민국,26412,21210,21019,191,5248,14719,888,140,24
20250603,1,21대대통령선거,경상북도,울진군,대한민국,41362,32830,32547,283,7327,23129,1859,197,35
20250603,1,21대대통령선거,경상남도,창원시의창구,대한민국,181085,144279,143152,1127,54737,74483,12091,1679,162
20250603,1,21대대통령선거,경상남도,창원시성산구,대한민국,208940,171376,170021,1355,69874,80619,16676,2668,184
20250603,1,21대대통령선거,경상남도,창원시마산합포구,대한민국,154518,121931,120976,955,40797,70653,8305,1087,134
20250603,1,21대대통령선거,경상남도,창원시마산회원구,대한민국,156251,125065,124096,969,43522,70165,9012,1218,179
20250603,1,21대대통령선거,경상남도,창원시진해구,대한민국,157266,122023,121055,968,49732,60152,9813,1213,145
