sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_국민의당,party_바른정당,party_정의당,party_새누리당,party_경제애국당,party_국민대통합당,party_늘푸른한국당,party_민중연합당,party_한국국민당,party_홍익당,party_무소속
20170509,1,19대대통령선거,인천광역시,서구,대한민국,404034,306672,305569,1103,132399,56236,72248,20860,22418,423,64,238,76,177,86,80,264
20170509,1,19대대통령선거,인천광역시,강화군,대한민국,59875,43938,43611,327,12153,17041,9559,2233,2267,97,11,58,22,27,33,53,57
20170509,1,19대대통령선거,인천광역시,옹진군,대한민국,18872,14747,14562,185,3935,5834,3092,875,656,23,5,18,11,17,23,28,45
20170509,1,19대대통령선거,광주광역시,동구,대한민국,83378,66287,66103,184,37053,1308,23438,1372,2665,13,5,45,10,115,13,19,47
20170509,1,19대대통령선거,광주광역시,서구,대한민국,247595,204787,204355,432,124183,3182,62218,4627,9247,20,17,198,32,450,20,45,116
20170509,1,19대대통령선거,광주광역시,남구,대한민국,177247,146037,145597,440,85642,2521,47663,3085,6013,38,19,142,12,296,21,56,89
20170509,1,19대대통령선거,광주광역시,북구,대한민국,356097,292001,291236,765,177850,4241,88501,6274,13206,48,24,157,23,622,31,87,172
20170509,1,19대대통령선거,광주광역시,광산구,대한민국,302584,248209,247541,668,159119,3630,65402,5504,12588,33,46,113,26,782,51,57,190
20170509,1,19대대통령선거,대전광역시,동구,대한민국,194189,143823,143184,639,57580,33015,34729,7746,9376,162,42,126,44,91,43,75,155
20170509,1,19대대통령선거,대전광역시,중구,대한민국,208017,157397,156765,632,62115,37657,37504,8885,9795,239,34,119,54,100,51,78,134
20170509,1,19대대통령선거,대전광역시,서구,대한민국,394539,307774,306654,1120,133604,59593,70732,20091,21396,317,48,175,59,216,69,124,230
20170509,1,19대대통령선거,대전광역시,유성구,대한민국,266632,218087,217424,663,103313,35445,47081,16145,14723,209,20,98,33,114,47,78,118
20170509,1,19대대통령선거,대전광역시,대덕구,대한민국,157225,118816,118274,542,47933,25666,28723,6953,8379,142,24,102,44,90,46,51,121
20170509,1,19대대통령선거,울산광역시,중구,대한민국,198415,157051,156256,795,56657,47625,26458,12399,12307,183,21,130,53,115,52,95,161
20170509,1,19대대통령선거,울산광역시,남구,대한민국,276867,219569,218651,918,80662,63331,39040,18536,16078,259,29,128,66,146,36,103,237
20170509,1,19대대통령선거,울산광역시,동구,대한민국,138379,109054,108471,583,44931,23701,19290,8337,11590,78,17,105,39,139,36,48,160
20170509,1,19대대통령선거,울산광역시,북구,대한민국,151453,122933,122378,555,52058,26596,20115,10004,12916,146,20,85,31,137,48,58,164
20170509,1,19대대통령선거,울산광역시,울주군,대한민국,175979,136353,135606,747,48486,42349,23617,11013,9296,163,41,127,51,104,48,107,204
20170509,1,19대대통령선거,세종특별자치시,세종특별자치시,대한민국,189421,152801,152237,564,77767,23211,32010,9192,9353,153,34,88,42,126,50,76,135
20170509,1,19대대통령선거,경기도,수원시장안구,대한민국,239609,190917,190211,706,81392,37143,43344,13774,13660,245,33,136,43,180,43,69,149
20170509,1,19대대통령선거,경기도,수원시권선구,대한민국,290343,222078,221278,800,95263,42801,51061,15482,15573,273,43,175,60,195,69,77,206
20170509,1,19대대통령선거,경기도,수원시팔달구,대한민국,167122,123458,122973,485,49814,27782,28228,8218,8315,172,20,94,27,105,36,53,109
20170509,1,19대대통령선거,경기도,수원시영통구,대한민국,264002,220307,219649,658,105181,33354,46872,18468,15086,228,23,92,26,117,24,54,124
20170509,1,19대대통령선거,경기도,성남시수정구,대한민국,201105,149414,148842,572,63867,28395,36752,9315,9649,201,27,120,22,253,48,64,129
20170509,1,19대대통령선거,경기도,성남시중원구,대한민국,198663,146801,146232,569,62729,27896,36512,8502,9599,211,36,116,29,355,42,63,142
20170509,1,19대대통령선거,경기도,성남시분당구,대한민국,403060,338076,337189,887,139853,71332,74040,30351,20415,544,22,96,53,206,35,99,143
20170509,1,19대대통령선거,경기도,의정부시,대한민국,360255,270404,269474,930,110580,57027,65003,17254,18284,422,31,155,63,214,81,122,238
20170509,1,19대대통령선거,경기도,안양시만안구,대한민국,215032,167995,167392,603,70454,35189,38671,10990,11275,257,23,149,32,109,59,55,129
20170509,1,19대대통령선거,경기도,안양시동안구,대한민국,277376,230674,229991,683,101278,43072,51966,17577,15294,298,26,129,30,110,48,51,112
20170509,1,19대대통령선거,경기도,부천시,대한민국,705885,543777,541842,1935,239697,100544,128297,34085,36775,706,94,365,126,395,149,192,417
