sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_정의당,party_기본소득당,party_국가혁명당,party_노동당,party_새누리당,party_신자유민주연합,party_우리공화당,party_진보당,party_통일한국당,party_한류연합당
20220309,1,20대대통령선거,인천광역시,강화군,대한민국,63019,48473,48009,464,17036,29267,988,22,513,23.0,11,12,34,39,32,32
20220309,1,20대대통령선거,인천광역시,옹진군,대한민국,18659,14912,14663,249,5218,8797,304,16,251,13.0,4,5,11,18,11,15
20220309,1,20대대통령선거,광주광역시,동구,대한민국,90678,73877,73363,514,60669,11036,1063,28,389,22.0,5,16,4,88,12,31
20220309,1,20대대통령선거,광주광역시,서구,대한민국,248147,202633,201278,1355,170357,26262,2961,68,1127,44.0,18,29,19,277,34,82
20220309,1,20대대통령선거,광주광역시,남구,대한민국,180643,148854,147822,1032,124572,19927,2073,63,811,32.0,17,19,24,171,40,73
20220309,1,20대대통령선거,광주광역시,북구,대한민국,363088,295658,293660,1998,249976,36421,4550,142,1896,65.0,26,45,34,350,51,104
20220309,1,20대대통령선거,광주광역시,광산구,대한민국,326650,264470,262478,1992,224484,30865,4218,133,1915,79.0,26,31,31,480,51,165
20220309,1,20대대통령선거,대전광역시,동구,대한민국,192350,142804,141433,1371,65555,70069,3603,103,1606,34.0,28,41,111,157,44,82
20220309,1,20대대통령선거,대전광역시,중구,대한민국,199637,151200,149914,1286,66698,77459,3782,68,1412,38.0,19,47,98,174,45,74
20220309,1,20대대통령선거,대전광역시,서구,대한민국,399599,304873,302013,2860,139877,150031,8427,173,2718,70.0,42,70,159,267,61,118
20220309,1,20대대통령선거,대전광역시,유성구,대한민국,288686,231027,228816,2211,108701,111342,6492,126,1599,44.0,31,44,124,187,63,63
20220309,1,20대대통령선거,대전광역시,대덕구,대한민국,152905,115404,114225,1179,54119,55159,3141,96,1258,37.0,18,25,96,173,45,58
20220309,1,20대대통령선거,울산광역시,중구,대한민국,182051,143171,141869,1302,54075,81399,3852,75,1702,44.0,19,38,156,394,50,65
20220309,1,20대대통령선거,울산광역시,남구,대한민국,268213,209589,207601,1988,77783,121304,5251,81,2274,58.0,34,43,189,444,54,86
20220309,1,20대대통령선거,울산광역시,동구,대한민국,127599,98491,97416,1075,44506,47065,3427,64,1597,88.0,17,30,71,473,32,46
20220309,1,20대대통령선거,울산광역시,북구,대한민국,175732,138319,137050,1269,64692,64597,5072,79,1806,67.0,15,21,113,491,44,53
20220309,1,20대대통령선거,울산광역시,울주군,대한민국,188615,145891,144454,1437,56078,81956,3690,76,1855,51.0,24,53,156,378,54,83
20220309,1,20대대통령선거,세종특별자치시,세종특별자치시,대한민국,288895,231832,229891,1941,119349,101491,6780,100,1594,50.0,23,48,121,181,66,88
20220309,1,20대대통령선거,경기도,수원시장안구,대한민국,234723,183882,182073,1809,91842,83470,4755,122,1320,27.0,27,38,170,188,46,68
20220309,1,20대대통령선거,경기도,수원시권선구,대한민국,311536,235055,232750,2305,121028,103154,5754,121,1981,55.0,42,63,187,218,48,99
20220309,1,20대대통령선거,경기도,수원시팔달구,대한민국,161747,119627,118547,1080,58024,56051,3003,63,1046,30.0,14,24,97,128,28,39
20220309,1,20대대통령선거,경기도,수원시영통구,대한민국,295828,239154,236891,2263,114418,114252,6385,131,1216,45.0,15,46,121,151,40,71
20220309,1,20대대통령선거,경기도,성남시수정구,대한민국,207998,161006,159710,1296,86224,68806,3128,57,904,22.0,19,38,109,318,19,66
20220309,1,20대대통령선거,경기도,성남시중원구,대한민국,186278,142368,141245,1123,80857,56072,2799,65,861,28.0,15,25,94,322,38,69
20220309,1,20대대통령선거,경기도,성남시분당구,대한민국,404493,335434,332885,2549,140966,183094,7005,105,1007,45.0,31,82,229,198,42,81
20220309,1,20대대통령선거,경기도,의정부시,대한민국,398960,295029,292628,2401,154851,127348,6788,152,2338,51.0,33,65,226,592,72,112
20220309,1,20대대통령선거,경기도,안양시만안구,대한민국,209083,162812,161370,1442,82650,73147,3901,72,1111,39.0,17,40,145,134,46,68
20220309,1,20대대통령선거,경기도,안양시동안구,대한민국,262895,216629,214914,1715,105221,102552,5574,72,1015,47.0,25,42,144,115,40,67
20220309,1,20대대통령선거,경기도,부천시,대한민국,699678,532995,528476,4519,285227,224331,13249,351,3817,126.0,76,125,323,515,118,218
20220309,1,20대대통령선거,경기도,광명시,대한민국,247357,198669,197058,1611,103470,87112,4746,98,1118,46.0,24,30,151,138,50,75
20220309,1,20대대통령선거,경기도,평택시,대한민국,472732,338768,335805,2963,166032,156630,7988,166,3791,108.0,47,71,220,525,87,140
20220309,1,20대대통령선거,경기도,양주시,대한민국,197345,145562,144334,1228,75236,63800,3162,65,1475,36.0,20,31,111,287,41,70
20220309,1,20대대통령선거,경기도,동두천시,대한민국,81075,57532,57032,500,28495,26434,1125,26,647,14.0,11,22,61,141,24,32
20220309,1,20대대통령선거,경기도,안산시상록구,대한민국,303413,222254,220195,2059,121488,90654,5103,165,2092,60.0,32,48,152,237,58,106
20220309,1,20대대통령선거,경기도,안산시단원구,대한민국,260659,192948,191175,1773,103595,80605,4563,134,1715,55.0,29,35,136,183,41,84
20220309,1,20대대통령선거,경기도,고양시덕양구,대한민국,414210,323033,320589,2444,167037,139914,10643,165,1932,89.0,46,86,208,340,48,81
20220309,1,20대대통령선거,경기도,고양시일산동구,대한민국,256654,197004,195523,1481,96990,91849,5032,90,1120,51.0,12,53,120,133,24,49
20220309,1,20대대통령선거,경기도,고양시일산서구,대한민국,251203,197311,195857,1454,99597,89677,4975,108,1019,43.0,18,47,130,147,33,63
20220309,1,20대대통령선거,경기도,과천시,대한민국,63841,54194,53705,489,21072,30934,1314,30,228,19.0,10,20,28,31,7,12
20220309,1,20대대통령선거,경기도,의왕시,대한민국,139712,113105,112238,867,54997,53556,2717,52,636,30.0,22,15,77,84,17,35
20220309,1,20대대통령선거,경기도,구리시,대한민국,164281,127688,126654,1034,63465,58865,3023,36,878,31.0,18,32,107,117,28,54
20220309,1,20대대통령선거,경기도,남양주시,대한민국,608146,460518,457081,3437,239179,203075,10089,186,3326,100.0,56,107,322,388,97,156
20220309,1,20대대통령선거,경기도,오산시,대한민국,188297,135108,133882,1226,72877,55793,3352,65,1427,38.0,12,17,74,143,26,58
20220309,1,20대대통령선거,경기도,화성시,대한민국,703896,542027,537699,4328,283324,236055,12955,194,4007,100.0,58,90,223,399,117,177
20220309,1,20대대통령선거,경기도,시흥시,대한민국,424723,317197,314765,2432,178462,125544,7082,151,2682,47.0,51,50,218,285,57,136
20220309,1,20대대통령선거,경기도,군포시,대한민국,229884,183089,181469,1620,94891,80277,4593,79,1185,47.0,24,42,118,120,35,58
20220309,1,20대대통령선거,경기도,하남시,대한민국,265087,208858,207371,1487,101106,100088,4624,81,1025,39.0,27,35,114,156,37,39
20220309,1,20대대통령선거,경기도,파주시,대한민국,401260,297278,294801,2477,157155,126763,7176,154,2566,98.0,45,88,211,342,84,119
20220309,1,20대대통령선거,경기도,여주시,대한민국,98077,72566,71950,616,30695,38731,1458,39,731,19.0,12,17,74,86,39,49
20220309,1,20대대통령선거,경기도,이천시,대한민국,187895,137512,136138,1374,63562,67726,2995,68,1354,34.0,21,36,77,154,47,64
20220309,1,20대대통령선거,경기도,용인시처인구,대한민국,220689,162420,161007,1413,80188,75105,3618,78,1532,33.0,27,44,105,162,46,69
20220309,1,20대대통령선거,경기도,용인시수지구,대한민국,304545,250764,248865,1899,113161,128995,5334,81,831,32.0,34,73,146,98,26,54
20220309,1,20대대통령선거,경기도,용인시기흥구,대한민국,361753,289459,287327,2132,143279,135606,6267,93,1477,40.0,31,75,150,188,37,84
20220309,1,20대대통령선거,경기도,안성시,대한민국,162452,117380,116123,1257,56723,54799,2892,87,1238,24.0,20,30,75,156,25,54
20220309,1,20대대통령선거,경기도,김포시,대한민국,391889,302170,299953,2217,153206,136814,6905,114,2175,54.0,31,73,197,227,79,78
20220309,1,20대대통령선거,경기도,광주시,대한민국,327252,244873,243206,1667,130220,105675,4596,99,1891,47.0,32,56,143,313,51,83
20220309,1,20대대통령선거,경기도,포천시,대한민국,131901,95968,95063,905,44320,47306,1903,49,1056,26.0,17,22,113,158,43,50
20220309,1,20대대통령선거,경기도,연천군,대한민국,37817,28904,28549,355,12013,15325,604,17,402,7.0,5,13,64,50,22,27
20220309,1,20대대통령선거,경기도,양평군,대한민국,106406,83065,82424,641,34324,45487,1662,40,633,21.0,12,26,80,57,34,48
20220309,1,20대대통령선거,경기도,가평군,대한민국,55618,42512,42049,463,16684,23870,872,30,402,16.0,6,18,47,44,30,30
20220309,1,20대대통령선거,강원도,춘천시,대한민국,243403,186646,185048,1598,82376,94926,5294,116,1775,83.0,27,26,98,202,58,67
20220309,1,20대대통령선거,강원도,원주시,대한민국,302881,226239,224205,2034,100954,113560,6105,143,2595,58.0,38,63,228,267,83,111
20220309,1,20대대통령선거,강원도,강릉시,대한민국,185823,141724,140420,1304,54377,80482,3434,80,1511,41.0,31,41,121,173,55,74
20220309,1,20대대통령선거,강원도,동해시,대한민국,77147,57515,56967,548,22896,31739,1359,24,757,14.0,8,14,57,55,23,21
20220309,1,20대대통령선거,강원도,삼척시,대한민국,56233,43642,43212,430,16297,25308,897,25,457,25.0,9,22,32,58,48,34
20220309,1,20대대통령선거,강원도,태백시,대한민국,35551,27039,26837,202,10846,15101,489,11,295,8.0,1,5,21,24,18,18
20220309,1,20대대통령선거,강원도,정선군,대한민국,32101,24898,24666,232,10103,13643,494,8,297,4.0,1,6,21,43,28,18
20220309,1,20대대통령선거,강원도,속초시,대한민국,71571,52516,52059,457,21713,28342,1230,16,627,17.0,6,13,23,37,17,18
20220309,1,20대대통령선거,강원도,고성군,대한민국,24668,19218,19000,218,7433,10840,427,8,216,5.0,2,3,10,20,18,18
20220309,1,20대대통령선거,강원도,양양군,대한민국,25257,19716,19554,162,7343,11495,434,4,222,3.0,8,2,13,10,14,6
20220309,1,20대대통령선거,강원도,인제군,대한민국,27897,21836,21487,349,8937,11591,501,20,333,4.0,4,8,14,36,14,25
20220309,1,20대대통령선거,강원도,홍천군,대한민국,60872,46697,46234,463,18418,25851,1049,37,593,15.0,11,19,31,144,32,34
20220309,1,20대대통령선거,강원도,횡성군,대한민국,41685,32625,32339,286,12557,18546,676,19,405,12.0,4,7,30,40,25,18
