sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_코리아당,party_무소속,party_국민대통합당,party_정의당,party_진보당,party_한류연합당,party_우리공화당
20220601,4,8회지방선거_기초단체장,경기도,오산시,오산시,190375,83196,82111,1085,38968.0,40723.0,0.0,1711.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,화성시,화성시,711229,336736,333017,3719,176631.0,156386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,시흥시,시흥시,431352,195137,191685,3452,106468.0,85217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,군포시,군포시,231192,128262,126776,1486,62821.0,63955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,하남시,하남시,266856,139746,138316,1430,60823.0,77493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,파주시,파주시,403729,187107,184493,2614,92512.0,91981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,여주시,여주시,98333,50666,49827,839,16603.0,33224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,이천시,이천시,188563,88734,87440,1294,39711.0,47729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,용인시처인구,용인시,222743,105130,103647,1483,43377.0,60270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,용인시수지구,용인시,231983,135905,134912,993,57578.0,77334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,용인시기흥구,용인시,434819,241265,239090,2175,112207.0,126883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,안성시,안성시,163518,81762,80427,1335,40497.0,39930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,김포시,김포시,392604,195837,193750,2087,86798.0,101566.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,광주시,광주시,329651,152139,150430,1709,69369.0,81061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,포천시,포천시,131980,67775,66601,1174,31743.0,34858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,연천군,연천군,37898,22797,22288,509,6000.0,10580.0,0.0,5708.0,0.0,0.0,0.0,0.0,0.0
20220601,4,8회지방선거_기초단체장,경기도,양평군,양평군,107165,63427,62423,1004,28298.0,34125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
