sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_바른미래당,party_대한애국당,party_민주평화당,party_무소속,party_민중당,party_정의당,party_우리미래,party_녹색당,party_한국국민당,party_노동당,party_대한당,party_새누리당
20180613,6,7회지방선거_기초의원지역구,서울특별시,도봉구,도봉구마선거구,45246,24673,24069,604,14313.0,7297.0,2459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,노원구,노원구가선거구,71068,43065,41668,1397,7328.0,10056.0,3182.0,0.0,0.0,0.0,5704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,노원구,노원구나선거구,67305,41369,40149,1220,9001.0,8141.0,4701.0,0.0,0.0,0.0,4527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,노원구,노원구다선거구,84760,53748,52118,1630,15023.0,9443.0,6795.0,0.0,0.0,1465.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,노원구,노원구라선거구,80693,50801,49175,1626,9724.0,9966.0,3846.0,0.0,824.0,0.0,0.0,6121.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,노원구,노원구마선거구,65086,37523,36233,1290,8076.0,7309.0,6143.0,0.0,1352.0,0.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,노원구,노원구바선거구,87458,56381,54813,1568,7763.0,9868.0,7032.0,0.0,424.0,0.0,0.0,8450.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,은평구,은평구가선거구,50214,28682,27669,1013,5926.0,5431.0,4653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,은평구,은평구나선거구,40700,22989,22086,903,5070.0,4774.0,2957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,은평구,은평구다선거구,44215,26170,25174,996,6292.0,5147.0,3045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,은평구,은평구라선거구,66620,37861,36806,1055,5904.0,7176.0,3760.0,0.0,0.0,0.0,0.0,4951.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,은평구,은평구마선거구,47961,26437,25620,817,14116.0,6352.0,3481.0,0.0,0.0,0.0,0.0,0.0,0.0,1671.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,은평구,은평구바선거구,43681,28394,27349,1045,5938.0,5603.0,3255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,은평구,은평구사선거구,62321,36066,35005,1061,5289.0,6553.0,2685.0,0.0,0.0,3635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,은평구,은평구아선거구,57400,31473,30419,1054,6640.0,5728.0,3642.0,0.0,0.0,0.0,0.0,0.0,0.0,2259.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,서대문구,서대문구가선거구,63835,38062,36255,1807,8605.0,3301.0,5444.0,0.0,0.0,0.0,1274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,서대문구,서대문구나선거구,33868,19929,19333,596,11309.0,4707.0,2536.0,0.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,서대문구,서대문구다선거구,32657,20923,20248,675,11728.0,5567.0,2420.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,서대문구,서대문구라선거구,60479,36746,35542,1204,8164.0,8772.0,4960.0,0.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,서대문구,서대문구마선거구,78343,48234,46715,1519,11559.0,8202.0,3895.0,0.0,776.0,305.0,113.0,8810.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,마포구,마포구가선거구,35908,23105,22526,579,13657.0,5925.0,2944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,마포구,마포구나선거구,19918,11444,11136,308,5209.0,2370.0,1489.0,0.0,0.0,2068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,마포구,마포구다선거구,35068,20773,20139,634,11881.0,4959.0,3299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,마포구,마포구라선거구,40623,25807,25006,801,14807.0,6395.0,3804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,마포구,마포구마선거구,38441,23566,23033,533,12513.0,5164.0,2776.0,0.0,0.0,2070.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,마포구,마포구바선거구,41292,24335,23571,764,12264.0,4541.0,2453.0,0.0,0.0,0.0,0.0,4313.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,마포구,마포구사선거구,49418,29701,28706,995,17911.0,6080.0,3630.0,0.0,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,마포구,마포구아선거구,59423,38436,37694,742,21008.0,7748.0,5024.0,0.0,0.0,448.0,0.0,0.0,0.0,2255.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,양천구,양천구가선거구,46010,27820,27042,778,16315.0,5825.0,3996.0,0.0,0.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,양천구,양천구나선거구,54598,35647,34526,1121,9082.0,9560.0,4676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,양천구,양천구다선거구,57922,38130,37083,1047,6086.0,9317.0,3922.0,0.0,0.0,0.0,0.0,3187.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,양천구,양천구라선거구,45066,30582,29350,1232,6131.0,7494.0,4330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,양천구,양천구마선거구,47737,26198,25409,789,4722.0,6129.0,1890.0,0.0,0.0,1121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,양천구,양천구바선거구,35561,21477,20634,843,11429.0,4774.0,1972.0,0.0,0.0,2459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,양천구,양천구사선거구,50410,29672,28614,1058,16830.0,7914.0,3870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,양천구,양천구아선거구,45800,28952,28215,737,6394.0,5068.0,2330.0,0.0,0.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강서구,강서구가선거구,87821,47661,46169,1492,10814.0,8698.0,2982.0,378.0,0.0,0.0,0.0,3645.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강서구,강서구나선거구,49408,31347,30360,987,18075.0,6930.0,3225.0,0.0,0.0,2130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강서구,강서구다선거구,36558,23518,22810,708,14360.0,5915.0,2535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강서구,강서구라선거구,81876,48002,46137,1865,9616.0,10998.0,4291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강서구,강서구마선거구,50887,30952,29849,1103,7406.0,6959.0,2304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강서구,강서구바선거구,44228,27373,26310,1063,7867.0,5864.0,0.0,0.0,0.0,3605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강서구,강서구사선거구,67547,43351,42122,1229,26605.0,9912.0,5605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강서구,강서구아선거구,38635,22208,21534,674,13613.0,5916.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,강서구,강서구자선거구,52061,29120,28206,914,14926.0,7655.0,0.0,0.0,0.0,0.0,1337.0,4288.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,구로구,구로구가선거구,53389,28720,27198,1522,17453.0,5239.0,4506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,구로구,구로구나선거구,57239,36516,35240,1276,21658.0,8657.0,4925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,구로구,구로구다선거구,42952,24527,23627,900,15313.0,6967.0,0.0,0.0,0.0,1347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,구로구,구로구라선거구,74290,44308,43025,1283,7813.0,9897.0,4822.0,0.0,0.0,0.0,4247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,구로구,구로구마선거구,47074,29232,28084,1148,16317.0,8790.0,2977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,구로구,구로구바선거구,76513,47806,46627,1179,6537.0,11893.0,2124.0,0.0,0.0,1133.0,0.0,11084.0,0.0,0.0,0.0,0.0,0.0,0.0
